playername,wardsplaced,wardskilled,controlwardsbought,visionscore,games_played,ward_placement_rate,ward_kill_rate,controlward_rate,visionscore_rate
Eckas,447,449,330,1999,40,11.175,11.225,8.25,49.975
Eclipse,853,711,263,2523,72,11.847222222222221,9.875,3.6527777777777777,35.041666666666664
EdbyK,81,29,28,229,8,10.125,3.625,3.5,28.625
Eddie,667,471,213,1823,46,14.5,10.23913043478261,4.630434782608695,39.630434782608695
Efias,744,225,189,1664,13,57.23076923076923,17.307692307692307,14.538461538461538,128.0
Egnom,73,40,5,180,7,10.428571428571429,5.714285714285714,0.7142857142857143,25.714285714285715
Egotistic,68,35,13,164,7,9.714285714285714,5.0,1.8571428571428572,23.428571428571427
Eika,1067,507,450,2687,68,15.691176470588236,7.455882352941177,6.617647058823529,39.51470588235294
ElOjoNinja,46,51,46,238,9,5.111111111111111,5.666666666666667,5.111111111111111,26.444444444444443
Electro,101,42,12,207,12,8.416666666666666,3.5,1.0,17.25
Elijah,159,72,48,475,14,11.357142857142858,5.142857142857143,3.4285714285714284,33.92857142857143
Elio,4841,1006,1391,9227,83,58.325301204819276,12.120481927710843,16.759036144578314,111.16867469879519
Elix1r,122,72,88,458,13,9.384615384615385,5.538461538461538,6.769230769230769,35.23076923076923
Elk,1763,1782,556,5662,141,12.50354609929078,12.638297872340425,3.9432624113475176,40.156028368794324
Ellim,1022,801,899,3831,79,12.936708860759493,10.139240506329115,11.379746835443038,48.49367088607595
Elramir,699,533,663,2799,64,10.921875,8.328125,10.359375,43.734375
Elyoya,941,1088,865,4257,79,11.91139240506329,13.772151898734178,10.949367088607595,53.88607594936709
Emo,584,238,291,1319,34,17.176470588235293,7.0,8.558823529411764,38.794117647058826
Emprez,16,8,14,54,2,8.0,4.0,7.0,27.0
Empyros,983,468,419,2667,68,14.455882352941176,6.882352941176471,6.161764705882353,39.220588235294116
Enapon,1899,431,566,3889,53,35.83018867924528,8.132075471698114,10.679245283018869,73.37735849056604
Endless,123,79,8,294,11,11.181818181818182,7.181818181818182,0.7272727272727273,26.727272727272727
Endz,147,37,33,312,3,49.0,12.333333333333334,11.0,104.0
Eneino,46,11,6,73,5,9.2,2.2,1.2,14.6
Enga,416,264,161,1270,39,10.666666666666666,6.769230769230769,4.128205128205129,32.56410256410256
Enigma,173,74,67,420,8,21.625,9.25,8.375,52.5
Enjawve,1956,405,591,3707,34,57.529411764705884,11.911764705882353,17.38235294117647,109.02941176470588
Enkil,594,156,140,1324,13,45.69230769230769,12.0,10.76923076923077,101.84615384615384
Enosh,454,209,119,948,27,16.814814814814813,7.7407407407407405,4.407407407407407,35.111111111111114
Enricfh,313,299,286,1346,26,12.038461538461538,11.5,11.0,51.76923076923077
Enthralled,150,67,28,332,11,13.636363636363637,6.090909090909091,2.5454545454545454,30.181818181818183
Envy,504,276,189,1346,43,11.720930232558139,6.4186046511627906,4.395348837209302,31.302325581395348
Envyy,868,723,265,2491,77,11.272727272727273,9.38961038961039,3.4415584415584415,32.35064935064935
Ephekles,321,60,51,620,6,53.5,10.0,8.5,103.33333333333333
Equinox,49,28,27,125,3,16.333333333333332,9.333333333333334,9.0,41.666666666666664
Erdote,4778,944,1091,8693,68,70.26470588235294,13.882352941176471,16.044117647058822,127.83823529411765
Erha,3051,625,914,5670,48,63.5625,13.020833333333334,19.041666666666668,118.125
Erk,87,24,21,170,2,43.5,12.0,10.5,85.0
Ermoke,8,0,1,9,1,8.0,0.0,1.0,9.0
Erolle,92,13,26,193,3,30.666666666666668,4.333333333333333,8.666666666666666,64.33333333333333
Errado,18,23,14,92,3,6.0,7.666666666666667,4.666666666666667,30.666666666666668
Ersin,176,42,55,298,8,22.0,5.25,6.875,37.25
Escanor,63,26,14,149,5,12.6,5.2,2.8,29.8
Eski,718,125,126,1364,14,51.285714285714285,8.928571428571429,9.0,97.42857142857143
Eskiper,373,65,118,737,9,41.44444444444444,7.222222222222222,13.11111111111111,81.88888888888889
Esko,534,286,131,1312,41,13.024390243902438,6.975609756097561,3.1951219512195124,32.0
Ethe,61,19,19,137,9,6.777777777777778,2.111111111111111,2.111111111111111,15.222222222222221
Etoo,280,200,48,777,38,7.368421052631579,5.2631578947368425,1.263157894736842,20.44736842105263
Euphoria,539,447,200,1587,59,9.135593220338983,7.576271186440678,3.389830508474576,26.89830508474576
Ever,64,79,42,371,13,4.923076923076923,6.076923076923077,3.230769230769231,28.53846153846154
Evi,582,187,197,1367,46,12.652173913043478,4.065217391304348,4.282608695652174,29.717391304347824
Excaliburt,108,28,23,228,3,36.0,9.333333333333334,7.666666666666667,76.0
Exduardo,38,20,5,87,5,7.6,4.0,1.0,17.4
Execute,2013,380,577,3565,27,74.55555555555556,14.074074074074074,21.37037037037037,132.03703703703704
Exile1,133,87,90,498,14,9.5,6.214285714285714,6.428571428571429,35.57142857142857
Exiled,62,11,11,135,1,62.0,11.0,11.0,135.0
Exofeng,396,277,22,1013,36,11.0,7.694444444444445,0.6111111111111112,28.13888888888889
Eyla,2388,629,619,4895,40,59.7,15.725,15.475,122.375
Eyliph,417,142,143,946,31,13.451612903225806,4.580645161290323,4.612903225806452,30.516129032258064
F0X Fr0zen ,122,39,30,275,2,61.0,19.5,15.0,137.5
F3IV,4,0,0,6,1,4.0,0.0,0.0,6.0
FATE,489,254,233,1374,46,10.630434782608695,5.521739130434782,5.065217391304348,29.869565217391305
FBI,612,324,234,1437,40,15.3,8.1,5.85,35.925
FENZ1,300,233,93,993,37,8.108108108108109,6.297297297297297,2.5135135135135136,26.83783783783784
FGG,2619,741,670,5801,58,45.1551724137931,12.775862068965518,11.551724137931034,100.01724137931035
FIERCE,228,114,43,586,22,10.363636363636363,5.181818181818182,1.9545454545454546,26.636363636363637
FIESTA,593,405,296,1845,50,11.86,8.1,5.92,36.9
FLH Frankfurt,19,10,1,34,2,9.5,5.0,0.5,17.0
FRAC Radar,8,4,1,21,1,8.0,4.0,1.0,21.0
FS ChallenQ,88,36,9,182,9,9.777777777777779,4.0,1.0,20.22222222222222
FS Oliv,98,35,30,241,9,10.88888888888889,3.888888888888889,3.3333333333333335,26.77777777777778
FSZ,408,240,208,1172,37,11.027027027027026,6.486486486486487,5.621621621621622,31.675675675675677
FUE Devost,38,8,6,73,3,12.666666666666666,2.6666666666666665,2.0,24.333333333333332
FVN Shuhari,185,30,43,356,3,61.666666666666664,10.0,14.333333333333334,118.66666666666667
Fade,697,299,250,1784,60,11.616666666666667,4.983333333333333,4.166666666666667,29.733333333333334
Faded,563,184,81,1128,41,13.731707317073171,4.487804878048781,1.975609756097561,27.51219512195122
Faetski,400,244,51,946,40,10.0,6.1,1.275,23.65
Faith,17,17,13,73,2,8.5,8.5,6.5,36.5
FakeGod,634,208,218,1415,42,15.095238095238095,4.9523809523809526,5.190476190476191,33.69047619047619
Faker,1549,864,588,3901,117,13.239316239316238,7.384615384615385,5.0256410256410255,33.34188034188034
Fallen,471,418,346,1949,41,11.487804878048781,10.195121951219512,8.439024390243903,47.53658536585366
Falleo,352,72,96,743,34,10.352941176470589,2.1176470588235294,2.823529411764706,21.852941176470587
Fame,141,75,112,447,11,12.818181818181818,6.818181818181818,10.181818181818182,40.63636363636363
Farfetch,2029,528,562,4297,36,56.361111111111114,14.666666666666666,15.61111111111111,119.36111111111111
Fatihcan,501,118,122,949,15,33.4,7.866666666666666,8.133333333333333,63.266666666666666
Fatorix,165,103,22,408,18,9.166666666666666,5.722222222222222,1.2222222222222223,22.666666666666668
Feather,5627,1247,1826,10425,94,59.861702127659576,13.26595744680851,19.425531914893618,110.90425531914893
Fede,662,368,201,1679,55,12.036363636363637,6.6909090909090905,3.6545454545454548,30.527272727272727
Feisty,826,585,551,2474,64,12.90625,9.140625,8.609375,38.65625
Feitan,199,56,44,433,4,49.75,14.0,11.0,108.25
Felopo,16,8,7,37,1,16.0,8.0,7.0,37.0
FenRir,752,596,218,2166,68,11.058823529411764,8.764705882352942,3.2058823529411766,31.852941176470587
Feng,1323,861,609,3677,99,13.363636363636363,8.696969696969697,6.151515151515151,37.14141414141414
Ferenc,49,23,7,116,6,8.166666666666666,3.8333333333333335,1.1666666666666667,19.333333333333332
Ferrari,91,86,80,396,11,8.272727272727273,7.818181818181818,7.2727272727272725,36.0
Ferret,645,853,516,3421,64,10.078125,13.328125,8.0625,53.453125
Fikus,199,51,21,385,20,9.95,2.55,1.05,19.25
FireAscept,141,82,69,365,10,14.1,8.2,6.9,36.5
Fireblade,118,41,52,239,9,13.11111111111111,4.555555555555555,5.777777777777778,26.555555555555557
FisheR,30,10,5,67,3,10.0,3.3333333333333335,1.6666666666666667,22.333333333333332
Fisher,1350,761,836,3671,100,13.5,7.61,8.36,36.71
Fishireal,99,21,8,195,13,7.615384615384615,1.6153846153846154,0.6153846153846154,15.0
Fishue,21,39,13,148,5,4.2,7.8,2.6,29.6
Fla01,166,31,46,300,3,55.333333333333336,10.333333333333334,15.333333333333334,100.0
Flakked,725,503,264,1948,44,16.477272727272727,11.431818181818182,6.0,44.27272727272727
Flamer,39,15,7,88,3,13.0,5.0,2.3333333333333335,29.333333333333332
Flandre,1533,995,724,4676,144,10.645833333333334,6.909722222222222,5.027777777777778,32.47222222222222
Flauren,1015,434,357,2619,85,11.941176470588236,5.105882352941176,4.2,30.811764705882354
FleekZ,67,12,12,133,2,33.5,6.0,6.0,66.5
Fleshy,2228,739,575,4827,37,60.21621621621622,19.972972972972972,15.54054054054054,130.45945945945945
FlickeR,468,397,60,1309,49,9.551020408163266,8.10204081632653,1.2244897959183674,26.714285714285715
FliiZee,199,132,48,561,16,12.4375,8.25,3.0,35.0625
Flip,675,476,338,1939,64,10.546875,7.4375,5.28125,30.296875
Floris56,86,57,15,207,11,7.818181818181818,5.181818181818182,1.3636363636363635,18.818181818181817
Fluffy,72,77,63,350,8,9.0,9.625,7.875,43.75
Flying,23,14,5,75,3,7.666666666666667,4.666666666666667,1.6666666666666667,25.0
FoFo,942,495,303,2342,63,14.952380952380953,7.857142857142857,4.809523809523809,37.17460317460318
Fogzy,314,138,95,757,28,11.214285714285714,4.928571428571429,3.392857142857143,27.035714285714285
Follow,162,180,122,826,16,10.125,11.25,7.625,51.625
FoobaR,82,190,41,645,21,3.9047619047619047,9.047619047619047,1.9523809523809523,30.714285714285715
Fool,704,203,154,1497,14,50.285714285714285,14.5,11.0,106.92857142857143
Fooneses,13,14,1,47,2,6.5,7.0,0.5,23.5
Forest,575,472,481,2346,56,10.267857142857142,8.428571428571429,8.589285714285714,41.892857142857146
Forlin,466,175,158,1075,32,14.5625,5.46875,4.9375,33.59375
Fornoreason,665,326,227,1787,63,10.555555555555555,5.174603174603175,3.6031746031746033,28.365079365079364
Fortu,591,110,128,1141,11,53.72727272727273,10.0,11.636363636363637,103.72727272727273
Foxie,212,111,54,545,27,7.851851851851852,4.111111111111111,2.0,20.185185185185187
Fragola,258,268,217,1144,24,10.75,11.166666666666666,9.041666666666666,47.666666666666664
Franky,110,48,22,248,11,10.0,4.363636363636363,2.0,22.545454545454547
Frappii,35,19,3,76,3,11.666666666666666,6.333333333333333,1.0,25.333333333333332
Fred,73,27,28,177,7,10.428571428571429,3.857142857142857,4.0,25.285714285714285
Free,54,38,8,119,4,13.5,9.5,2.0,29.75
Freestyle,183,55,34,440,6,30.5,9.166666666666666,5.666666666666667,73.33333333333333
Fresskowy,599,329,273,1613,43,13.930232558139535,7.651162790697675,6.348837209302325,37.51162790697674
Frexey,215,114,24,467,17,12.647058823529411,6.705882352941177,1.411764705882353,27.470588235294116
Friple,10,5,10,33,1,10.0,5.0,10.0,33.0
Frixter,41,24,15,108,3,13.666666666666666,8.0,5.0,36.0
Frog,1279,448,721,3192,90,14.21111111111111,4.977777777777778,8.011111111111111,35.46666666666667
Frost,259,522,129,1955,59,4.389830508474576,8.847457627118644,2.1864406779661016,33.13559322033898
Frozen,3037,698,703,6119,55,55.21818181818182,12.690909090909091,12.781818181818181,111.25454545454545
Fudge,693,254,212,1539,46,15.065217391304348,5.521739130434782,4.608695652173913,33.45652173913044
Fugu,35,11,13,96,2,17.5,5.5,6.5,48.0
Fun K3y,486,402,113,1486,38,12.789473684210526,10.578947368421053,2.973684210526316,39.10526315789474
Funky Dog,380,416,324,1762,36,10.555555555555555,11.555555555555555,9.0,48.94444444444444
Furby,2415,565,499,5079,49,49.285714285714285,11.53061224489796,10.183673469387756,103.65306122448979
Furuy,848,264,318,1826,64,13.25,4.125,4.96875,28.53125
Fush,121,37,29,244,11,11.0,3.3636363636363638,2.6363636363636362,22.181818181818183
Fuuu,372,164,190,943,27,13.777777777777779,6.074074074074074,7.037037037037037,34.925925925925924
Fynox,24,14,3,57,3,8.0,4.666666666666667,1.0,19.0
GALA,1094,1196,337,3691,107,10.22429906542056,11.177570093457945,3.149532710280374,34.495327102803735
GBCN Pyrus,200,36,64,398,4,50.0,9.0,16.0,99.5
GDG Compu,7,6,0,20,1,7.0,6.0,0.0,20.0
GDG miaemi,36,7,12,74,1,36.0,7.0,12.0,74.0
GGA Hosanna,212,64,67,499,5,42.4,12.8,13.4,99.8
GIDEON,1245,1119,1069,5033,96,12.96875,11.65625,11.135416666666666,52.427083333333336
GLE notiim,29,14,10,64,2,14.5,7.0,5.0,32.0
GLR Nicolayyi,26,13,23,99,3,8.666666666666666,4.333333333333333,7.666666666666667,33.0
GLR RonyG,37,10,8,77,4,9.25,2.5,2.0,19.25
GMB atatt,36,5,9,67,1,36.0,5.0,9.0,67.0
GRX,122,96,121,490,11,11.090909090909092,8.727272727272727,11.0,44.54545454545455
GTZ Gary,16,4,4,39,2,8.0,2.0,2.0,19.5
GTZ Spy2,7,12,14,49,1,7.0,12.0,14.0,49.0
GUP 1334mat,3,8,1,26,1,3.0,8.0,1.0,26.0
GUP Legend,38,1,11,64,1,38.0,1.0,11.0,64.0
GUP Ricarderix,75,21,20,196,3,25.0,7.0,6.666666666666667,65.33333333333333
GUP Sidbuck,33,7,5,59,3,11.0,2.3333333333333335,1.6666666666666667,19.666666666666668
GZ Frozen,389,71,107,720,7,55.57142857142857,10.142857142857142,15.285714285714286,102.85714285714286
GZ Gon,96,63,86,319,7,13.714285714285714,9.0,12.285714285714286,45.57142857142857
GZ Herma,73,47,31,182,5,14.6,9.4,6.2,36.4
GZ Kin0,352,76,99,642,5,70.4,15.2,19.8,128.4
Gaarfield,439,87,101,866,9,48.77777777777778,9.666666666666666,11.222222222222221,96.22222222222223
Gaeng,2388,552,767,4618,46,51.91304347826087,12.0,16.67391304347826,100.3913043478261
Gakgos,371,139,91,875,32,11.59375,4.34375,2.84375,27.34375
Galaxynt,45,11,11,97,5,9.0,2.2,2.2,19.4
Ganks,230,210,183,1023,22,10.454545454545455,9.545454545454545,8.318181818181818,46.5
GaraXy,73,58,60,287,7,10.428571428571429,8.285714285714286,8.571428571428571,41.0
Garank,422,101,103,882,10,42.2,10.1,10.3,88.2
Garden,1248,580,563,2944,87,14.344827586206897,6.666666666666667,6.471264367816092,33.839080459770116
Gastruks,1997,419,511,3943,36,55.47222222222222,11.63888888888889,14.194444444444445,109.52777777777777
Gato,286,89,54,697,7,40.857142857142854,12.714285714285714,7.714285714285714,99.57142857142857
Gatovisck,264,76,94,561,6,44.0,12.666666666666666,15.666666666666666,93.5
Gavotto,434,446,84,1369,40,10.85,11.15,2.1,34.225
Gaëthan,217,68,75,474,18,12.055555555555555,3.7777777777777777,4.166666666666667,26.333333333333332
GekkoSzaby,2,5,1,18,1,2.0,5.0,1.0,18.0
Gemini,1011,703,777,3521,79,12.79746835443038,8.89873417721519,9.835443037974683,44.56962025316456
Genos,46,44,47,202,6,7.666666666666667,7.333333333333333,7.833333333333333,33.666666666666664
Ghost,90,58,21,205,7,12.857142857142858,8.285714285714286,3.0,29.285714285714285
Ghost2,5,4,2,19,1,5.0,4.0,2.0,19.0
GianKios,78,44,51,233,7,11.142857142857142,6.285714285714286,7.285714285714286,33.285714285714285
Gilito,1073,202,275,2021,17,63.11764705882353,11.882352941176471,16.176470588235293,118.88235294117646
Giomatic,9,8,8,41,1,9.0,8.0,8.0,41.0
Giyuu,1026,423,397,2381,76,13.5,5.565789473684211,5.223684210526316,31.32894736842105
GoDirr,146,25,13,255,13,11.23076923076923,1.9230769230769231,1.0,19.615384615384617
Goldenpenny,241,116,44,548,23,10.478260869565217,5.043478260869565,1.9130434782608696,23.82608695652174
Goliah,314,299,278,1436,38,8.263157894736842,7.868421052631579,7.315789473684211,37.78947368421053
Goliath,4268,932,1264,8126,75,56.906666666666666,12.426666666666666,16.85333333333333,108.34666666666666
Gom,411,104,140,811,8,51.375,13.0,17.5,101.375
Gon,39,15,37,98,2,19.5,7.5,18.5,49.0
Gordinho,216,57,45,489,5,43.2,11.4,9.0,97.8
Gori,493,333,157,1393,48,10.270833333333334,6.9375,3.2708333333333335,29.020833333333332
Grave,432,338,94,1209,52,8.307692307692308,6.5,1.8076923076923077,23.25
Grell,228,300,195,1330,36,6.333333333333333,8.333333333333334,5.416666666666667,36.94444444444444
Gremy,77,95,62,355,8,9.625,11.875,7.75,44.375
Grevthar,619,328,302,1644,42,14.738095238095237,7.809523809523809,7.190476190476191,39.142857142857146
Grimm,43,33,8,126,5,8.6,6.6,1.6,25.2
Grizzly,939,1070,910,4402,89,10.55056179775281,12.02247191011236,10.224719101123595,49.46067415730337
Gru,214,159,88,565,19,11.263157894736842,8.368421052631579,4.631578947368421,29.736842105263158
Gryffinn,55,75,52,329,8,6.875,9.375,6.5,41.125
Grèédy,589,133,159,1244,16,36.8125,8.3125,9.9375,77.75
Gtracks,31,12,0,62,5,6.2,2.4,0.0,12.4
Guanch0,126,60,46,360,8,15.75,7.5,5.75,45.0
Guardian,637,222,247,1692,65,9.8,3.4153846153846152,3.8,26.03076923076923
Guertas,406,430,354,2099,56,7.25,7.678571428571429,6.321428571428571,37.482142857142854
Guigo,672,434,253,2009,61,11.01639344262295,7.114754098360656,4.147540983606557,32.9344262295082
Guigs,1840,447,512,3625,29,63.44827586206897,15.413793103448276,17.655172413793103,125.0
Guirlande,47,38,39,210,6,7.833333333333333,6.333333333333333,6.5,35.0
Guli,104,178,53,698,23,4.521739130434782,7.739130434782608,2.3043478260869565,30.347826086956523
Gumayusi,1334,966,432,3620,93,14.344086021505376,10.387096774193548,4.645161290322581,38.924731182795696
Guppy,109,56,22,254,14,7.785714285714286,4.0,1.5714285714285714,18.142857142857142
Gury,889,876,646,3665,63,14.11111111111111,13.904761904761905,10.253968253968255,58.17460317460318
Gus,183,96,67,463,16,11.4375,6.0,4.1875,28.9375
Guti,591,430,147,1598,51,11.588235294117647,8.431372549019608,2.8823529411764706,31.333333333333332
Guubi,95,85,41,422,13,7.3076923076923075,6.538461538461538,3.1538461538461537,32.46153846153846
Guwon,267,284,226,1280,32,8.34375,8.875,7.0625,40.0
H1tokiri,24,7,2,45,2,12.0,3.5,1.0,22.5
HAKA,207,80,70,479,14,14.785714285714286,5.714285714285714,5.0,34.214285714285715
HALdesu,251,324,197,1323,31,8.096774193548388,10.451612903225806,6.354838709677419,42.67741935483871
HAP DerSchrank,32,8,3,81,4,8.0,2.0,0.75,20.25
HAP Dishonored,26,10,0,49,4,6.5,2.5,0.0,12.25
HARPOON,742,601,181,2185,60,12.366666666666667,10.016666666666667,3.0166666666666666,36.416666666666664
HAWHAW,119,62,15,312,14,8.5,4.428571428571429,1.0714285714285714,22.285714285714285
HC KZT,39,48,19,219,5,7.8,9.6,3.8,43.8
HLE Eclipse,36,23,12,83,3,12.0,7.666666666666667,4.0,27.666666666666668
HLE Hailstone,157,18,38,253,3,52.333333333333336,6.0,12.666666666666666,84.33333333333333
HLE Panther,25,12,9,77,3,8.333333333333334,4.0,3.0,25.666666666666668
HM Delta 1,57,33,6,149,5,11.4,6.6,1.2,29.8
HNS Bera,178,28,48,329,6,29.666666666666668,4.666666666666667,8.0,54.833333333333336
HNS Nakamoto,173,44,74,366,27,6.407407407407407,1.6296296296296295,2.740740740740741,13.555555555555555
HNS R1to,266,58,107,429,20,13.3,2.9,5.35,21.45
HNS Rumi,274,165,63,708,27,10.148148148148149,6.111111111111111,2.3333333333333335,26.22222222222222
HNS Skinny,36,38,34,149,5,7.2,7.6,6.8,29.8
HNS ekkusu,162,145,147,675,22,7.363636363636363,6.590909090909091,6.681818181818182,30.681818181818183
HNS phast,833,162,251,1565,21,39.666666666666664,7.714285714285714,11.952380952380953,74.52380952380952
HNS tetras256,48,21,26,115,5,9.6,4.2,5.2,23.0
HNVR Boempel,33,17,13,90,4,8.25,4.25,3.25,22.5
HNVR storm,34,8,4,54,4,8.5,2.0,1.0,13.5
HOF Crisrock,43,11,11,103,1,43.0,11.0,11.0,103.0
HOF Ghost2,7,3,3,30,1,7.0,3.0,3.0,30.0
HOF Julzh,16,3,3,31,1,16.0,3.0,3.0,31.0
HOF Leazor,12,8,1,30,1,12.0,8.0,1.0,30.0
HOF Martim,20,11,1,59,2,10.0,5.5,0.5,29.5
HOF Phlloz,54,19,13,125,1,54.0,19.0,13.0,125.0
HOF Primata,12,9,0,37,1,12.0,9.0,0.0,37.0
HOF Sashimi,8,5,3,22,1,8.0,5.0,3.0,22.0
HOF Silence,6,10,4,34,1,6.0,10.0,4.0,34.0
HOF ThunderPeng,170,38,20,365,4,42.5,9.5,5.0,91.25
HOF Zezin,36,5,0,62,4,9.0,1.25,0.0,15.5
HOF vicarious,10,21,9,72,2,5.0,10.5,4.5,36.0
HONOR,2239,463,585,4297,39,57.41025641025641,11.871794871794872,15.0,110.17948717948718
HOYA,1376,408,634,3079,94,14.638297872340425,4.340425531914893,6.74468085106383,32.755319148936174
HPS EN,80,10,19,157,2,40.0,5.0,9.5,78.5
HST David Do,17,22,5,75,2,8.5,11.0,2.5,37.5
HST DinhViet,45,32,17,120,4,11.25,8.0,4.25,30.0
HST Terry,18,14,15,65,2,9.0,7.0,7.5,32.5
HST Wady,36,36,42,179,4,9.0,9.0,10.5,44.75
Hades2,79,103,61,415,13,6.076923076923077,7.923076923076923,4.6923076923076925,31.923076923076923
Haetae,1473,569,733,3451,107,13.766355140186915,5.317757009345795,6.850467289719626,32.25233644859813
Hailstone,3741,739,1016,7118,72,51.958333333333336,10.26388888888889,14.11111111111111,98.86111111111111
Hakari,161,92,84,480,15,10.733333333333333,6.133333333333334,5.6,32.0
HamBak,511,559,433,2276,47,10.872340425531915,11.893617021276595,9.212765957446809,48.42553191489362
Hamsi,77,39,24,210,10,7.7,3.9,2.4,21.0
Hamudis,47,62,43,257,9,5.222222222222222,6.888888888888889,4.777777777777778,28.555555555555557
Hanbyeol,1265,348,468,2797,95,13.31578947368421,3.663157894736842,4.926315789473684,29.442105263157895
Hang,3753,790,1054,7033,58,64.70689655172414,13.620689655172415,18.17241379310345,121.25862068965517
Hans SamD,851,787,184,2624,57,14.929824561403509,13.807017543859649,3.2280701754385963,46.03508771929825
Hans Sama,1002,1061,187,3313,86,11.651162790697674,12.337209302325581,2.1744186046511627,38.52325581395349
Haoswen,364,69,89,700,6,60.666666666666664,11.5,14.833333333333334,116.66666666666667
Harbo,384,332,134,1273,45,8.533333333333333,7.377777777777778,2.977777777777778,28.288888888888888
Harky,419,532,147,1525,38,11.026315789473685,14.0,3.8684210526315788,40.13157894736842
Harp,2156,660,790,4623,40,53.9,16.5,19.75,115.575
Hasu7,671,220,246,1587,65,10.323076923076924,3.3846153846153846,3.7846153846153845,24.415384615384614
Hatsu,476,168,118,1103,36,13.222222222222221,4.666666666666667,3.2777777777777777,30.63888888888889
Hattor1s,160,93,58,379,14,11.428571428571429,6.642857142857143,4.142857142857143,27.071428571428573
Hauz,510,255,202,1347,36,14.166666666666666,7.083333333333333,5.611111111111111,37.416666666666664
Hax,37,15,5,90,5,7.4,3.0,1.0,18.0
Hazel,413,283,117,1124,36,11.472222222222221,7.861111111111111,3.25,31.22222222222222
HeSSZero,652,230,279,1556,55,11.854545454545455,4.181818181818182,5.072727272727272,28.29090909090909
Heart,31,20,25,93,2,15.5,10.0,12.5,46.5
Hena,473,276,138,1207,29,16.310344827586206,9.517241379310345,4.758620689655173,41.62068965517241
Heng,302,272,264,1159,26,11.615384615384615,10.461538461538462,10.153846153846153,44.57692307692308
Henli,91,74,60,303,8,11.375,9.25,7.5,37.875
Heprex,30,8,6,62,5,6.0,1.6,1.2,12.4
Herma,841,526,184,2088,76,11.06578947368421,6.921052631578948,2.4210526315789473,27.473684210526315
Heroic,366,199,69,1016,45,8.133333333333333,4.4222222222222225,1.5333333333333334,22.57777777777778
Heru,87,47,38,215,7,12.428571428571429,6.714285714285714,5.428571428571429,30.714285714285715
Hery,369,159,141,947,32,11.53125,4.96875,4.40625,29.59375
Hetel,2651,542,821,5057,53,50.0188679245283,10.226415094339623,15.49056603773585,95.41509433962264
Hhiep,28,27,7,101,3,9.333333333333334,9.0,2.3333333333333335,33.666666666666664
HiRit,502,278,261,1355,38,13.210526315789474,7.315789473684211,6.868421052631579,35.6578947368421
Hid0,113,91,11,296,12,9.416666666666666,7.583333333333333,0.9166666666666666,24.666666666666668
Hidan,271,113,136,662,20,13.55,5.65,6.8,33.1
Highway,2175,533,417,4383,44,49.43181818181818,12.113636363636363,9.477272727272727,99.61363636363636
Hika,114,76,27,313,11,10.363636363636363,6.909090909090909,2.4545454545454546,28.454545454545453
Hildebrandt,10,4,0,23,1,10.0,4.0,0.0,23.0
Himmel,98,56,31,272,10,9.8,5.6,3.1,27.2
Hinata,624,275,321,1555,51,12.235294117647058,5.392156862745098,6.294117647058823,30.49019607843137
Hiro,50,17,19,106,4,12.5,4.25,4.75,26.5
Hiro02,373,295,214,1206,29,12.862068965517242,10.172413793103448,7.379310344827586,41.58620689655172
Hitsu,171,107,57,547,22,7.7727272727272725,4.863636363636363,2.590909090909091,24.863636363636363
Hizto,598,438,536,2299,46,13.0,9.521739130434783,11.652173913043478,49.97826086956522
Hollow,42,10,10,87,5,8.4,2.0,2.0,17.4
HongQ,1615,748,837,3907,95,17.0,7.873684210526315,8.810526315789474,41.126315789473686
HongSuo,718,473,397,2231,71,10.112676056338028,6.661971830985915,5.591549295774648,31.422535211267604
Hope,2234,1786,779,6256,144,15.51388888888889,12.402777777777779,5.409722222222222,43.44444444444444
Horder,602,217,173,1351,46,13.08695652173913,4.717391304347826,3.760869565217391,29.369565217391305
Horus,260,132,52,594,20,13.0,6.6,2.6,29.7
Hosanna,2789,784,818,6026,60,46.483333333333334,13.066666666666666,13.633333333333333,100.43333333333334
HotPot,422,514,458,2048,51,8.27450980392157,10.07843137254902,8.980392156862745,40.15686274509804
Howling,717,359,209,1878,70,10.242857142857142,5.128571428571429,2.9857142857142858,26.82857142857143
Hran,69,51,10,193,6,11.5,8.5,1.6666666666666667,32.166666666666664
Hub,283,188,82,691,32,8.84375,5.875,2.5625,21.59375
Humanoid,710,392,176,1771,57,12.456140350877194,6.87719298245614,3.087719298245614,31.07017543859649
Humble,37,37,9,107,4,9.25,9.25,2.25,26.75
Hummelu,30,19,25,100,3,10.0,6.333333333333333,8.333333333333334,33.333333333333336
Humzh,120,127,24,392,14,8.571428571428571,9.071428571428571,1.7142857142857142,28.0
HungryPanda,3278,768,891,6526,59,55.559322033898304,13.016949152542374,15.101694915254237,110.61016949152543
Hungtwo,35,8,9,69,1,35.0,8.0,9.0,69.0
Hunt,25,11,7,67,4,6.25,2.75,1.75,16.75
Huron,940,340,200,2091,45,20.88888888888889,7.555555555555555,4.444444444444445,46.46666666666667
Husha,200,250,183,963,22,9.090909090909092,11.363636363636363,8.318181818181818,43.77272727272727
Hustle,249,168,109,671,28,8.892857142857142,6.0,3.892857142857143,23.964285714285715
Hustlin,650,167,203,1425,14,46.42857142857143,11.928571428571429,14.5,101.78571428571429
Huubiii,23,12,10,65,2,11.5,6.0,5.0,32.5
