playername,wardsplaced,wardskilled,controlwardsbought,visionscore,games_played,ward_placement_rate,ward_kill_rate,controlward_rate,visionscore_rate
Casting,1564,509,664,3494,98,15.959183673469388,5.1938775510204085,6.775510204081633,35.6530612244898
Castle,456,166,264,1050,28,16.285714285714285,5.928571428571429,9.428571428571429,37.5
Caucha,365,120,50,846,35,10.428571428571429,3.4285714285714284,1.4285714285714286,24.17142857142857
Cavalo,2906,755,899,5747,46,63.17391304347826,16.41304347826087,19.543478260869566,124.93478260869566
CbhhuZi,305,70,118,606,7,43.57142857142857,10.0,16.857142857142858,86.57142857142857
Cboi,577,443,466,2389,62,9.306451612903226,7.145161290322581,7.516129032258065,38.53225806451613
Ceasarna,39,35,28,197,6,6.5,5.833333333333333,4.666666666666667,32.833333333333336
Celo,660,558,137,1919,47,14.042553191489361,11.872340425531915,2.9148936170212765,40.829787234042556
Centu,3262,769,819,6701,63,51.77777777777778,12.206349206349206,13.0,106.36507936507937
Ceos,2366,623,662,5046,39,60.666666666666664,15.974358974358974,16.974358974358974,129.3846153846154
Chama,23,13,4,53,2,11.5,6.5,2.0,26.5
Chan,531,189,237,1232,44,12.068181818181818,4.295454545454546,5.386363636363637,28.0
Chance2Win,131,30,8,279,15,8.733333333333333,2.0,0.5333333333333333,18.6
Chap1nho,6,1,0,10,1,6.0,1.0,0.0,10.0
Charley,1653,363,534,3240,36,45.916666666666664,10.083333333333334,14.833333333333334,90.0
Chasy,527,227,277,1461,48,10.979166666666666,4.729166666666667,5.770833333333333,30.4375
Cheng9,592,371,132,1528,51,11.607843137254902,7.2745098039215685,2.588235294117647,29.96078431372549
Cherry,1155,214,225,2212,22,52.5,9.727272727272727,10.227272727272727,100.54545454545455
ChiCh1,726,505,191,1869,61,11.901639344262295,8.278688524590164,3.1311475409836067,30.639344262295083
Chien,538,329,188,1461,49,10.979591836734693,6.714285714285714,3.836734693877551,29.816326530612244
Chika,211,206,114,760,23,9.173913043478262,8.956521739130435,4.956521739130435,33.04347826086956
Chompy,44,22,10,109,6,7.333333333333333,3.6666666666666665,1.6666666666666667,18.166666666666668
Chordy,1146,347,295,2548,38,30.157894736842106,9.131578947368421,7.7631578947368425,67.05263157894737
Chova,45,9,6,86,1,45.0,9.0,6.0,86.0
Chovy,1575,1372,558,4873,120,13.125,11.433333333333334,4.65,40.608333333333334
Chrislai,26,28,22,114,4,6.5,7.0,5.5,28.5
Chryssey,47,22,5,106,5,9.4,4.4,1.0,21.2
Cid,942,467,470,2422,70,13.457142857142857,6.671428571428572,6.714285714285714,34.6
Cinkrof,356,347,259,1624,38,9.368421052631579,9.131578947368421,6.815789473684211,42.73684210526316
Cipher,61,36,11,165,7,8.714285714285714,5.142857142857143,1.5714285714285714,23.571428571428573
Citrus,277,297,238,1164,19,14.578947368421053,15.631578947368421,12.526315789473685,61.26315789473684
Claww,569,207,36,1264,65,8.753846153846155,3.1846153846153844,0.5538461538461539,19.446153846153845
Clayce,60,40,53,225,6,10.0,6.666666666666667,8.833333333333334,37.5
Clear,802,473,332,2275,76,10.552631578947368,6.223684210526316,4.368421052631579,29.93421052631579
Click,2557,548,647,4968,44,58.11363636363637,12.454545454545455,14.704545454545455,112.9090909090909
Climber,425,436,320,1868,39,10.897435897435898,11.179487179487179,8.205128205128204,47.8974358974359
Closer,248,419,211,1462,25,9.92,16.76,8.44,58.48
Cloud,8003,1806,2517,14161,107,74.79439252336448,16.878504672897197,23.523364485981308,132.34579439252337
Clozer,1083,601,411,2709,79,13.708860759493671,7.6075949367088604,5.2025316455696204,34.29113924050633
CoBiT,3399,926,860,7112,64,53.109375,14.46875,13.4375,111.125
Coated,131,50,36,295,10,13.1,5.0,3.6,29.5
Coldraa,164,119,59,440,15,10.933333333333334,7.933333333333334,3.933333333333333,29.333333333333332
Coli,548,110,141,1125,14,39.142857142857146,7.857142857142857,10.071428571428571,80.35714285714286
Colomblbl,1545,355,351,3267,31,49.83870967741935,11.451612903225806,11.32258064516129,105.38709677419355
Color,202,95,54,511,19,10.631578947368421,5.0,2.8421052631578947,26.894736842105264
Comp,844,699,204,2534,68,12.411764705882353,10.279411764705882,3.0,37.26470588235294
Competitive,583,279,241,1461,51,11.431372549019608,5.470588235294118,4.7254901960784315,28.647058823529413
Conformista,110,38,44,275,10,11.0,3.8,4.4,27.5
Congolese,45,12,8,88,5,9.0,2.4,1.6,17.6
Contractz,475,548,413,2346,46,10.326086956521738,11.91304347826087,8.978260869565217,51.0
CoreJJ,3265,930,925,6984,60,54.416666666666664,15.5,15.416666666666666,116.4
Cospect,233,79,51,530,5,46.6,15.8,10.2,106.0
Courage,375,358,323,1539,36,10.416666666666666,9.944444444444445,8.972222222222221,42.75
Coward,77,71,49,340,11,7.0,6.454545454545454,4.454545454545454,30.90909090909091
CrAzY,29,29,6,108,5,5.8,5.8,1.2,21.6
Crack,4097,1096,1101,8568,69,59.3768115942029,15.884057971014492,15.956521739130435,124.17391304347827
Cracker,990,428,524,2199,75,13.2,5.706666666666667,6.986666666666666,29.32
Crecre,639,139,115,1180,11,58.09090909090909,12.636363636363637,10.454545454545455,107.27272727272727
Crem,442,294,48,1128,47,9.404255319148936,6.25531914893617,1.0212765957446808,24.0
Creme,1680,1035,663,4693,128,13.125,8.0859375,5.1796875,36.6640625
Crimson,319,153,91,931,37,8.621621621621621,4.135135135135135,2.4594594594594597,25.16216216216216
Cripple,161,77,40,375,17,9.470588235294118,4.529411764705882,2.3529411764705883,22.058823529411764
Crisp,8414,1562,2826,15180,129,65.2248062015504,12.108527131782946,21.906976744186046,117.67441860465117
Cristonex,94,29,27,200,9,10.444444444444445,3.2222222222222223,3.0,22.22222222222222
Croac,29,19,1,60,3,9.666666666666666,6.333333333333333,0.3333333333333333,20.0
Croco,387,506,325,2006,42,9.214285714285714,12.047619047619047,7.738095238095238,47.76190476190476
Crow,494,133,91,1102,12,41.166666666666664,11.083333333333334,7.583333333333333,91.83333333333333
Crowdy,19,4,4,32,2,9.5,2.0,2.0,16.0
