playername,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
 BLWeaksideWizar,3074.5,4730.0,78.0,3789.0,4752.5,87.0,-714.5,-22.5,-9.0,0.0,0.5,1.5,1.0,1.5,0.5,4881.0,7634.0,133.5,6060.0,7846.5,135.5,-1179.0,-212.5,-2.0,0.0,0.5,1.5,1.5,2.0,0.5,6752.5,10434.0,170.0,8449.5,10617.0,173.5,-1697.0,-183.0,-3.5,0.0,3.0,2.5,3.0,4.0,1.0,8561.0,13896.0,217.0,10449.0,14654.0,210.0,-1888.0,-758.0,7.0,0.5,3.0,3.0,3.0,6.5,1.0
0909,3453.6666666666665,4563.333333333333,81.33333333333333,3707.0,4875.0,81.66666666666667,-253.33333333333334,-311.6666666666667,-0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.0,0.6666666666666666,5575.666666666667,7340.0,136.0,6355.0,7980.0,137.33333333333334,-779.3333333333334,-640.0,-1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.0,7823.0,10071.666666666666,181.66666666666666,8770.333333333334,11135.333333333334,188.0,-947.3333333333334,-1063.6666666666667,-6.333333333333333,2.0,3.0,2.3333333333333335,2.3333333333333335,3.6666666666666665,1.6666666666666667,10188.333333333334,13110.333333333334,229.0,11294.333333333334,14349.333333333334,235.66666666666666,-1106.0,-1239.0,-6.666666666666667,2.6666666666666665,5.0,2.6666666666666665,3.3333333333333335,5.0,2.6666666666666665
0ri,3423.9310344827586,3523.6206896551726,65.82758620689656,3420.8275862068967,3611.448275862069,67.13793103448276,3.103448275862069,-87.82758620689656,-1.3103448275862069,0.9310344827586207,0.6206896551724138,0.4827586206896552,0.6896551724137931,1.1379310344827587,0.5517241379310345,5225.137931034483,5751.275862068966,100.27586206896552,5252.103448275862,5915.827586206897,102.06896551724138,-26.96551724137931,-164.55172413793105,-1.793103448275862,1.6896551724137931,1.1724137931034482,1.0,1.3793103448275863,2.103448275862069,1.0689655172413792,7020.379310344828,8187.448275862069,132.3448275862069,7233.724137931034,8535.068965517241,134.44827586206895,-213.3448275862069,-347.62068965517244,-2.103448275862069,2.1724137931034484,2.103448275862069,1.793103448275862,2.0344827586206895,3.8275862068965516,1.4482758620689655,8794.653846153846,10663.23076923077,160.76923076923077,8844.615384615385,10780.5,158.96153846153845,-49.96153846153846,-117.26923076923077,1.8076923076923077,2.923076923076923,3.3846153846153846,2.5384615384615383,2.4615384615384617,5.730769230769231,2.230769230769231
1116,3771.689189189189,4643.324324324324,87.87837837837837,3476.9324324324325,4544.405405405405,80.45945945945945,294.7567567567568,98.91891891891892,7.418918918918919,1.162162162162162,0.972972972972973,0.7567567567567568,0.6756756756756757,0.9864864864864865,0.9324324324324325,6060.5,7384.121621621622,136.54054054054055,5520.22972972973,7220.810810810811,127.5,540.2702702702703,163.3108108108108,9.04054054054054,2.324324324324324,1.972972972972973,1.3243243243243243,1.337837837837838,1.7837837837837838,1.5810810810810811,8420.164383561643,10330.479452054795,182.24657534246575,7792.767123287671,10199.520547945205,172.41095890410958,627.3972602739726,130.95890410958904,9.835616438356164,3.4383561643835616,3.452054794520548,1.917808219178082,2.232876712328767,3.095890410958904,2.232876712328767,10450.969230769231,13129.753846153846,219.87692307692308,10213.246153846154,13500.446153846155,215.09230769230768,237.72307692307692,-370.6923076923077,4.7846153846153845,4.138461538461539,4.953846153846154,2.6615384615384614,3.353846153846154,4.8307692307692305,2.6307692307692307
113,3477.0588235294117,3821.294117647059,73.43137254901961,3326.3333333333335,3711.0196078431372,71.23529411764706,150.72549019607843,110.27450980392157,2.196078431372549,0.5882352941176471,0.7843137254901961,0.29411764705882354,0.27450980392156865,0.6666666666666666,0.49019607843137253,5169.941176470588,5868.666666666667,106.29411764705883,5107.0392156862745,5952.431372549019,107.86274509803921,62.90196078431372,-83.76470588235294,-1.5686274509803921,1.0588235294117647,1.7450980392156863,0.7647058823529411,0.7647058823529411,1.607843137254902,0.9411764705882353,6818.78431372549,8111.098039215686,135.47058823529412,6918.941176470588,8434.137254901962,142.31372549019608,-100.15686274509804,-323.03921568627453,-6.8431372549019605,1.3529411764705883,2.823529411764706,1.3137254901960784,1.1764705882352942,2.8823529411764706,1.3137254901960784,8366.0,10023.450980392157,158.7450980392157,8665.274509803921,10739.078431372549,170.94117647058823,-299.27450980392155,-715.6274509803922,-12.196078431372548,1.7254901960784315,4.019607843137255,2.0588235294117645,1.7254901960784315,4.2745098039215685,1.7450980392156863
13,3445.046511627907,3385.4186046511627,75.34883720930233,3443.0,3417.0,80.34883720930233,2.046511627906977,-31.58139534883721,-5.0,0.9069767441860465,0.5116279069767442,0.5116279069767442,0.7209302325581395,0.4418604651162791,0.37209302325581395,5469.3488372093025,5594.279069767442,120.97674418604652,5559.093023255814,5844.023255813953,130.58139534883722,-89.74418604651163,-249.74418604651163,-9.604651162790697,1.558139534883721,1.069767441860465,0.9069767441860465,1.441860465116279,1.372093023255814,0.6744186046511628,7758.186046511628,8255.627906976744,168.0,7932.232558139535,8468.348837209302,179.51162790697674,-174.04651162790697,-212.72093023255815,-11.511627906976743,2.372093023255814,2.0232558139534884,1.441860465116279,2.3488372093023258,2.3255813953488373,1.1162790697674418,10116.595238095239,10842.07142857143,214.64285714285714,10313.0,11211.261904761905,225.71428571428572,-196.4047619047619,-369.1904761904762,-11.071428571428571,3.5476190476190474,3.2142857142857144,2.0,3.5714285714285716,4.190476190476191,1.619047619047619
1Jiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Zeus,3473.0,3577.0,64.0,4141.0,3451.0,61.0,-668.0,126.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,4646.0,4936.0,88.0,6565.0,5400.0,92.0,-1919.0,-464.0,-4.0,1.0,1.0,3.0,4.0,5.0,0.0,6332.0,7346.0,124.0,9585.0,8888.0,120.0,-3253.0,-1542.0,4.0,1.0,2.0,5.0,6.0,9.0,0.0,,,,,,,,,,,,,,,
1xn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2274,2418.1346153846152,2406.596153846154,14.038461538461538,2526.8653846153848,2293.846153846154,12.75,-108.73076923076923,112.75,1.2884615384615385,0.28846153846153844,1.5,1.0769230769230769,0.4807692307692308,1.8461538461538463,0.9038461538461539,3744.75,3540.6153846153848,20.923076923076923,3945.019230769231,3587.769230769231,20.98076923076923,-200.26923076923077,-47.15384615384615,-0.057692307692307696,0.4230769230769231,2.923076923076923,1.7884615384615385,0.8076923076923077,3.4423076923076925,1.5769230769230769,4891.843137254902,4939.274509803921,24.686274509803923,5204.588235294118,5249.470588235294,25.274509803921568,-312.7450980392157,-310.19607843137254,-0.5882352941176471,0.5882352941176471,4.333333333333333,2.6666666666666665,0.8823529411764706,5.901960784313726,2.156862745098039,6083.92,6719.76,27.9,6446.74,6968.18,29.26,-362.82,-248.42,-1.36,0.72,6.72,3.72,1.1,8.42,3.06
