playername,score,kills,deaths,assists,damagetochampions
Grizzly,2426.68,391,239,644,1391680
Comp,2418.6639999999998,299,113,337,1782664
Kozi,2415.935,307,206,485,1623935
Secrett,2413.725,326,205,415,1672725
YSKM,2404.931,327,248,399,1678931
Flip,2404.449,301,187,401,1702449
Yike,2400.641,280,268,753,1367641
BuLLDoG,2393.672,191,229,442,1760672
Jool,2392.841,268,193,642,1482841
Keria,2389.15,102,314,1374,913150
Manaty,2388.865,346,257,781,1261865
Afriibi,2384.964,317,179,426,1641964
Jojopyun,2384.957,221,224,490,1673957
Furuy,2382.137,265,149,505,1612137
Maynter,2375.66,248,176,486,1641660
Feisty,2374.656,251,153,524,1599656
Velja,2370.525,396,191,676,1298525
Winner,2365.404,315,278,692,1358404
handm,2363.401,208,272,493,1662401
JunJia,2362.654,302,200,737,1323654
Kangin,2362.256,222,301,418,1722256
Aetinoth,2362.068,378,144,353,1631068
Aeru,2361.866,386,231,417,1558866
Pesho,2355.312,317,164,472,1566312
Kiaya,2348.019,235,218,448,1665019
Tsiperakos,2341.405,302,154,514,1525405
VicLa,2339.398,214,249,509,1616398
Syzyfek,2339.274,300,173,386,1653274
Avarice,2333.7980000000002,282,129,437,1614798
Septico1,2329.671,271,297,367,1691671
Rich,2323.181,212,271,411,1700181
Betty,2321.155,303,141,374,1644155
Unkn0wn5,2320.031,287,172,378,1655031
Ripple,2315.944,327,210,387,1601944
Szygenda,2312.923,240,200,442,1630923
Tracyn,2312.668,296,162,427,1589668
Ale,2311.262,222,214,544,1545262
Sharvel,2308.655,255,262,670,1383655
Crisp,2307.351,83,473,1454,770351
Delight,2304.484,110,365,1391,803484
DenVoksne,2300.148,289,172,350,1661148
PerfecT,2297.832,230,241,519,1548832
HOYA,2294.014,214,294,491,1589014
Xagog,2284.362,290,329,610,1384362
Upset,2281.275,376,84,388,1517275
DDoiV,2281.171,258,301,729,1294171
WalliR,2280.0679999999998,271,292,393,1616068
BrokenBlade,2279.556,244,225,424,1611556
Lucid,2277.624,300,257,713,1264624
Nevid,2275.456,247,298,392,1636456
Quad,2268.287,249,145,458,1561287
Hans SamD,2268.037,344,117,281,1643037
Berserker,2265.98,245,174,349,1671980
Hasu7,2261.555,323,283,470,1468555
STANIK,2260.139,309,133,510,1441139
Lothen,2257.047,321,134,369,1567047
Cuzz,2256.613,266,234,695,1295613
Mrozku,2239.563,300,206,443,1496563
Rybson,2238.46,272,240,699,1267460
Sertuss,2235.238,235,178,464,1536238
Mihile,2229.891,295,208,428,1506891
bobista,2229.321,291,184,445,1493321
Vzz,2226.005,346,164,339,1541005
Kenal,2222.425,308,174,406,1508425
Zubac,2221.26,344,255,733,1144260
Janus,2200.989,295,167,452,1453989
Samver,2199.164,407,114,432,1360164
Jinbeom,2198.527,302,218,413,1483527
Shiganari,2192.738,322,166,365,1505738
Aki,2191.364,269,331,664,1258364
Myrwn,2190.608,219,203,398,1573608
Jopa,2179.429,244,152,347,1588429
Simpli,2176.902,264,194,386,1526902
Rabble,2175.34,313,263,601,1261340
raining,2174.4,269,153,369,1536400
Jeskla,2167.991,292,156,407,1468991
FoFo,2167.213,198,117,429,1540213
Nan0,2166.567,234,198,407,1525567
Hype,2165.088,289,145,341,1535088
Calix,2162.907,229,209,370,1563907
Strode,2162.597,321,133,341,1500597
Kati,2159.595,213,138,469,1477595
Bwipo,2156.422,230,206,418,1508422
Six10,2156.317,294,151,408,1454317
Kuroneel,2153.992,336,187,356,1461992
Norwegian,2152.13,362,184,509,1281130
Duro,2151.132,81,338,1356,714132
Zanzarah,2151.018,201,280,755,1195018
L1mit,2142.995,345,183,334,1463995
Melonik,2141.731,214,220,351,1576731
adi1,2140.477,312,218,626,1202477
GIDEON,2137.827,263,300,667,1207827
Nafkelah,2136.185,285,123,444,1407185
Daglas,2132.373,267,162,646,1219373
Kratos,2130.076,228,206,403,1499076
SAJATOR,2123.342,260,163,451,1412342
Phantasm,2119.568,308,155,365,1446568
Yeon,2118.222,312,127,299,1507222
Venour,2118.185,240,203,383,1495185
Meiko,2112.779,84,380,1293,735779
XnS,2112.302,307,221,551,1254302
Morgan,2097.016,213,214,403,1481016
Vaynedeta,2091.753,344,140,334,1413753
SOLBON,2086.292,286,214,398,1402292
TakeSet,2086.025,276,121,326,1484025
xKenzuke,2079.641,259,137,438,1382641
Bull,2071.984,259,182,353,1459984
SkewMond,2064.873,246,175,585,1233873
Rooster,2062.357,243,182,422,1397357
Career,2055.774,114,315,1175,766774
ShiauC,2053.388,124,363,1262,667388
Trigger,2052.659,308,123,345,1399659
Painter,2050.349,284,172,708,1058349
Sponge,2045.061,235,317,577,1233061
Odi11,2039.855,309,133,312,1418855
Ace,2037.782,308,166,363,1366782
Rocklho,2037.194,173,274,422,1442194
Devn,2035.73,271,117,458,1306730
Cloud,2032.981,95,445,1178,759981
Vampire,2032.981,99,480,1166,767981
APA,2030.535,200,172,383,1447535
Eika,2027.196,197,157,371,1459196
Marbirius,2025.628,247,150,471,1307628
Agresivoo,2021.874,261,199,334,1426874
choego,2017.802,318,126,386,1313802
Seonwoo,2011.782,261,214,323,1427782
Fede,2009.218,253,143,348,1408218
Clear,2000.659,186,238,394,1420659
Serin,1992.91,275,113,359,1358910
Humanoid,1982.997,229,152,344,1409997
Send0o,1982.839,197,311,371,1414839
Midir,1981.398,211,233,423,1347398
Howling,1972.953,201,162,365,1406953
Soft,1968.071,304,200,653,1011071
Vetheo,1963.592,218,157,357,1388592
Agurin,1963.207,238,233,528,1197207
many,1963.199,222,179,357,1384199
NuQ,1958.34,243,244,429,1286340
Azhi,1958.148,186,169,366,1406148
alix,1956.536,257,215,370,1329536
Guigo,1956.408,204,194,362,1390408
Soldier,1956.166,312,81,414,1230166
Willer,1955.1970000000001,329,208,534,1092197
Guardian,1951.65,247,189,327,1377650
DuDu,1950.258,179,234,299,1472258
Euphoria,1948.8799999999999,249,291,353,1346880
Badlulu,1947.973,234,192,362,1351973
Aytekn,1940.691,220,194,355,1365691
Jaehyuk,1923.588,199,248,366,1358588
Shadow,1922.718,132,355,1058,732718
Savero,1920.097,232,211,656,1032097
whiteinn,1917.782,78,381,1199,640782
Tibor,1917.755,271,156,372,1274755
FIESTA,1917.442,214,217,372,1331442
Zven,1916.966,242,92,356,1318966
Levi,1915.998,231,242,594,1090998
452apm,1915.829,320,167,343,1252829
Tutsz,1908.563,200,150,392,1316563
DICE,1908.225,267,112,395,1246225
Minji,1907.325,262,239,347,1298325
Raptor,1905.732,239,266,539,1127732
Wei,1905.337,221,221,627,1057337
Aklass,1895.908,284,186,302,1309908
Neon,1895.196,268,156,354,1273196
Ayu,1890.413,253,115,351,1286413
Robocop,1886.996,220,144,368,1298996
