playername,score,kills,deaths,assists,damagetochampions
CarioK,1230.497,124,119,437,669497
Hazel,1227.891,165,94,195,867891
Marky,1225.8509999999999,117,146,241,867851
Dani,1225.793,153,114,215,857793
PatkicaA,1225.362,132,133,293,800362
naau,1224.875,211,82,368,645875
haichao,1222.924,123,109,243,856924
Carry,1222.047,61,256,723,438047
Lulas,1218.769,107,179,462,649769
Jeykup,1218.514,154,132,423,641514
Liar,1218.481,191,106,229,798481
Lospa,1217.283,57,187,766,394283
Yuu,1216.323,127,169,202,887323
Aress,1215.677,122,101,256,837677
whisper,1215.382,200,214,313,702382
Starry,1214.5,181,111,212,821500
Nikiyas,1214.363,175,93,211,828363
Avra,1212.728,179,105,200,833728
Kisno,1211.945,134,123,381,696945
Tropy16,1210.634,144,168,207,859634
UniqueCORN,1208.491,145,110,261,802491
playcool,1206.43,160,114,236,810430
Fallen,1206.429,140,150,407,659429
sarolu,1205.967,145,131,400,660967
Xicor,1205.855,166,126,209,830855
Crack,1204.698,44,270,685,475698
Lynkez,1197.557,136,101,196,865557
Burdol,1193.863,144,102,207,842863
Draktharr,1191.745,184,133,304,703745
Abagnale,1191.703,54,251,753,384703
Bissejr15,1190.666,148,90,230,812666
Wako,1190.5149999999999,124,96,217,849515
tinowns,1189.2640000000001,111,82,192,886264
Enapon,1188.094,88,242,579,521094
Asza,1187.144,162,99,172,853144
Doublelift,1184.457,171,84,194,819457
Caltys,1183.368,164,102,220,799368
Woody,1182.826,68,204,670,444826
Airren,1180.7740000000001,155,95,230,795774
Leks,1178.173,138,156,186,854173
Osman123,1175.445,166,180,402,607445
Sinmivak,1173.397,83,101,246,844397
denyk,1173.312,43,211,731,399312
Samikin,1173.274,126,97,216,831274
Druxy,1172.916,168,91,258,746916
Vertigo,1171.846,142,100,194,835846
fNb,1170.849,120,84,219,831849
Hosanna,1170.513,68,278,659,443513
Papiteero,1169.358,132,137,217,820358
FGG,1169.357,61,211,712,396357
Dolis,1169.023,142,89,226,801023
Nesty,1166.669,174,179,347,645669
Brance,1166.534,145,68,182,839534
Contractz,1165.255,120,164,300,745255
Infoneral,1163.733,63,235,671,429733
Eckas,1163.512,140,106,367,656512
CK gotae,1162.944,132,134,193,837944
seaz,1161.084,73,164,653,435084
Booki,1160.921,161,116,413,586921
Kikis,1160.612,134,136,381,645612
HungryPanda,1158.6,85,244,658,415600
Keduii,1158.016,142,97,187,829016
Zika,1154.0529999999999,122,113,200,832053
Dragonblood,1151.022,160,126,401,590022
Notiko,1150.267,167,99,191,792267
Leza,1148.77,157,89,191,800770
StarScreen,1135.871,125,131,239,771871
Sting,1134.195,123,151,358,653195
Etoo,1128.998,151,98,240,737998
Kiari,1126.086,110,149,197,819086
Spica,1125.704,146,78,330,649704
rym,1124.951,146,100,245,733951
SiuLoong,1124.661,77,210,593,454661
SiroN1,1123.5629999999999,55,226,666,402563
DOOM,1122.219,116,123,400,606219
River,1122.0430000000001,123,133,321,678043
Sahira,1121.679,143,119,172,806679
Space,1116.512,147,134,185,784512
Akashi,1115.9,112,109,252,751900
Evi,1114.445,95,211,224,795445
NinjaKiwi,1113.5520000000001,136,71,198,779552
JoJo,1113.057,48,179,639,426057
Tomio,1110.941,116,77,379,615941
Leon,1110.931,43,192,714,353931
HamBak,1110.887,110,176,321,679887
Leny,1110.823,113,158,212,785823
Vin,1110.644,131,92,249,730644
Mewkyo,1107.19,143,143,328,636190
fantomisto,1104.048,133,100,239,732048
Hizto,1103.193,163,125,321,619193
Tomrio,1102.4270000000001,128,115,433,541427
Nawa,1102.412,151,73,197,754412
Antonio,1102.2740000000001,141,73,205,756274
belit,1101.365,116,186,346,639365
DnDn,1100.991,120,122,198,782991
Boal,1100.063,114,124,223,763063
Racon,1099.771,151,175,338,610771
Funky Dog,1097.647,159,103,335,603647
twohoyrz,1096.024,121,105,211,764024
Tomo,1095.904,102,95,157,836904
Yupps,1095.211,112,132,202,781211
Lens,1094.444,180,91,196,718444
Bold,1090.701,165,66,150,775701
Xico,1089.58,127,116,225,737580
Backlund,1088.653,112,126,159,817653
Wilson,1088.569,127,136,324,637569
Zwyroo,1086.796,155,75,209,722796
Perle,1086.659,126,116,234,726659
Pilot,1084.454,152,68,207,725454
Someone,1083.3609999999999,168,116,186,729361
Naak Nako,1080.128,114,130,178,788128
Sm0oZi,1079.484,159,90,190,730484
Zest,1077.807,104,71,176,797807
CK ss1,1075.33,149,221,306,620330
Loading,1071.799,88,137,244,739799
Zoelys,1071.483,36,186,655,380483
Erdote,1068.931,41,211,602,425931
Sn1lle,1068.791,136,154,308,624791
Sun eater,1068.645,105,231,174,789645
Kania,1068.507,152,155,295,621507
Photon,1066.122,130,97,179,757122
Ronaldo,1065.964,123,81,171,771964
Ilyxøu,1062.259,124,147,256,682259
RAMES,1061.656,134,134,317,610656
Bie,1060.794,82,124,582,396794
Panda2,1060.778,135,122,210,715778
Croco,1059.68,146,125,292,621680
Juzu,1058.315,118,107,201,739315
Khaydarin,1054.544,124,159,185,745544
Pinki,1051.893,168,66,196,687893
CoreJJ,1051.503,64,148,593,394503
Dizin,1050.715,152,137,360,538715
Techoteco,1048.644,102,167,307,639644
Zeron,1048.3410000000001,100,104,162,786341
BVL Fubuki,1044.709,193,153,261,590709
VK velbellys,1043.004,122,135,197,724004
Should,1040.699,65,217,566,409699
Berr,1040.499,37,286,630,373499
Keine,1039.007,94,95,184,761007
Cinkrof,1038.891,117,134,350,571891
Liweier,1038.879,159,164,327,552879
Irrelevant,1038.515,88,119,219,731515
SuperCleber,1038.353,111,84,233,694353
Summit,1038.074,100,142,195,743074
Tao,1037.278,123,130,209,705278
Josifek04,1035.818,163,162,310,562818
Druust,1033.451,117,117,222,694451
Steeelback,1033.195,31,182,697,305195
Spooder,1032.748,105,108,240,687748
Miniduke,1030.974,123,119,193,714974
Crimson,1030.479,111,102,207,712479
Josedeodo,1029.185,135,108,293,601185
Jamie,1027.935,142,61,226,659935
ALNSHT,1027.234,130,68,189,708234
Matias,1026.926,114,101,175,737926
Kakkun,1026.675,96,145,183,747675
Rest,1026.322,106,105,222,698322
cody,1025.64,113,78,192,720640
tyrin,1024.189,106,112,178,740189
Sekkou,1023.255,65,196,600,358255
SLT,1022.9159999999999,117,75,181,724916
Wamu,1022.408,110,86,258,654408
Karaage,1021.9010000000001,137,87,170,714901
SkyK,1020.713,162,105,202,656713
XeRone,1019.145,129,191,175,715145
Wuis,1017.943,45,187,592,380943
MrPhant0m,1012.99,146,90,140,726990
naiyou,1012.723,175,84,296,541723
Dardoch,1012.2099999999999,116,116,287,609210
Blesia,1009.2470000000001,138,96,162,709247
Drofan,1008.285,175,112,269,564285
Lucker,1007.947,86,147,382,539947
Ady,1007.946,112,102,246,649946
Disamis,1007.775,135,106,312,560775
Mask,1004.635,84,86,203,717635
Grell,1002.474,134,121,295,573474
CHEF,1001.645,95,148,327,579645
Prominence,1000.558,109,132,375,516558
Life,997.318,49,292,517,431318
Gakgos,996.627,128,97,231,637627
Rigel,995.539,105,118,191,699539
Saifer,994.697,134,84,199,661697
Hang,993.148,48,206,609,336148
Veignorem,991.703,52,214,539,400703
Sniper,989.507,112,123,194,683507
DoubleAiM,988.309,150,143,271,567309
Kaylem,988.104,133,95,191,664104
Hatsu,987.845,104,129,164,719845
Baca,987.593,127,87,196,664593
Frozen,984.961,48,229,604,332961
Shizuki,984.812,134,74,152,698812
Killer2,983.794,119,136,351,513794
Toffe,983.539,106,105,186,691539
Metroflox,982.981,139,111,271,572981
J0J0C,982.751,144,103,225,613751
YYG MAO,982.4300000000001,134,113,229,619430
Krimson,981.801,123,158,277,581801
Mahonix,980.013,45,171,579,356013
Saint,979.809,111,80,154,714809
OkerumoN,978.84,53,247,442,483840
WNTR,978.321,101,158,176,701321
MathisV,977.997,104,99,208,665997
svns,977.5509999999999,119,103,175,683551
Qwacker,975.535,119,122,179,677535
Yampi,974.642,113,123,291,570642
PatxiPirata,972.463,125,138,171,676463
Santorin,971.731,100,108,351,520731
Skream,970.784,145,86,169,656784
Intio,968.9110000000001,139,83,172,657911
KNEZA,967.628,134,126,160,673628
ZOEN,967.087,110,119,247,610087
Kasing,966.225,37,188,582,347225
Sirinox,965.883,114,72,143,708883
Chordy,965.051,81,120,337,547051
Solorio,964.242,134,111,182,648242
ScaryJerry,963.354,85,105,135,743354
Hetel,959.675,36,185,636,287675
KinGi,959.605,116,108,328,515605
Pika1,959.553,130,160,163,666553
Emo,956.944,108,82,236,612944
Hustle,956.689,135,111,203,618689
Minu,954.2379999999999,149,120,304,501238
Sheo,950.415,74,128,273,603415
Nio,948.421,69,227,540,339421
Mersa,946.811,34,242,603,309811
UmTi,946.796,80,128,310,556796
Shiku,945.272,32,165,577,336272
JimieN,944.929,82,133,178,684929
Carlsen,944.587,109,110,141,694587
Zeyzal,943.915,32,115,558,353915
STEPZ,943.814,131,83,255,557814
Alex234,940.64,102,175,303,535640
Wiz,940.038,108,116,295,537038
Foxie,938.608,128,106,189,621608
Serch,936.615,110,100,196,630615
Vulcan,935.0360000000001,38,104,605,292036
Sotsy,934.951,91,133,220,623951
DM p1ng,933.295,171,90,139,623295
Hena,931.663,100,62,158,673663
Osaki,930.456,43,198,557,330456
Zamudo,930.446,115,86,154,661446
Goliah,929.0070000000001,122,99,284,523007
jjs156,926.3340000000001,95,134,177,654334
Plox,925.107,106,91,196,623107
Lilipp,924.077,75,256,408,441077
Climber,923.828,118,115,289,516828
ceo,922.997,115,66,134,673997
Nikolex,922.929,113,147,287,522929
Patrik,922.094,96,91,126,700094
Shogo,921.926,135,111,139,647926
Zeniv,921.7330000000001,124,129,159,638733
Kurahuto,921.363,32,240,552,337363
Mentos,920.396,100,94,228,592396
2274,919.944,45,292,492,382944
Charley,917.212,55,135,549,313212
CPM,916.8100000000001,84,130,241,591810
Kiefer,916.707,94,71,161,661707
Aojune,916.615,91,102,166,659615
NOMA,914.636,103,105,186,625636
Worst,911.901,144,68,202,565901
pr1me,911.74,126,116,174,611740
Makes,911.501,113,125,160,638501
Phuc1,910.496,112,159,294,504496
Treatz,909.381,65,137,486,358381
Ycx,908.223,42,208,541,325223
Lindgarde,904.742,125,58,174,605742
RayFarky,903.595,82,138,202,619595
Thomas,903.533,41,184,528,334533
Inzuh,900.6030000000001,100,74,190,610603
Siler,900.534,130,43,185,585534
Caucha,898.248,108,96,179,611248
Hub,896.562,115,111,136,645562
Boukada,896.171,89,120,304,503171
Kuri,894.201,45,148,506,343201
Dya,890.669,118,56,177,595669
Kojima,887.862,114,70,158,615862
Axo,886.279,117,145,124,645279
FIERCE,885.1,136,44,140,609100
Mxe,883.916,24,228,543,316916
Enosh,880.956,108,88,169,603956
Spirax,880.504,102,67,187,591504
Eyliph,876.486,96,121,175,605486
Chika,875.344,116,83,191,568344
Nsurr,875.237,33,217,534,308237
RapMonsters,874.061,117,66,169,588061
Kellie,872.61,37,164,522,313610
StineR,871.786,88,112,307,476786
Kituruken,868.508,104,121,261,503508
scamber,865.563,37,134,550,278563
Larssen,865.043,75,73,159,631043
Adam,864.8389999999999,106,98,124,634839
Ramune,862.629,120,60,211,531629
Lekcyc,861.333,34,165,558,269333
ardaffler,860.162,138,51,135,587162
PhyMini,859.079,86,88,118,655079
Keres,858.4979999999999,71,192,406,381498
Seiya,856.375,85,61,208,563375
yeti,855.804,80,100,165,610804
Fogzy,855.542,101,116,130,624542
KatEvolved,855.2,106,62,162,587200
VK Jmicta,854.895,101,181,233,520895
Lyncas,854.789,93,96,282,479789
Tangyuan,852.457,79,77,168,605457
ezman,849.884,116,93,147,586884
Listo,849.003,154,130,219,476003
Falleo,848.004,109,113,134,605004
Forlin,847.797,77,98,161,609797
DG toraneko,847.458,34,145,526,287458
uZent,847.287,54,112,499,294287
Callian,847.098,36,210,508,303098
Poweh,846.173,115,115,117,614173
Seal,846.033,54,188,497,295033
Srtty,844.708,90,117,131,623708
bluerzor,843.896,96,85,268,479896
Own3r,843.772,154,108,184,505772
Bola,843.399,104,76,109,630399
Bulas,843.061,43,175,517,283061
milkyway,841.628,92,131,249,500628
Domas,841.273,86,139,243,512273
Asilah,841.256,72,118,168,601256
Magic,840.064,118,132,154,568064
Baashh,839.5980000000001,95,133,256,488598
Shiina,838.477,123,104,281,434477
Nanchuco,838.055,121,131,124,593055
Alvanai,836.279,116,120,164,556279
Sparz,835.337,49,189,491,295337
Bong,834.309,88,121,148,598309
Jun,834.055,35,145,443,356055
Parlita,833.744,87,107,150,596744
Taba,832.907,88,131,314,430907
CK Razer,831.697,74,134,197,560697
Raxxo,831.643,40,163,452,339643
KSAEZ,830.926,98,59,188,544926
Arn,829.619,83,76,224,522619
Pout,825.586,101,41,196,528586
Music,822.717,99,97,243,480717
iLEVI,822.6850000000001,44,176,460,318685
Dawciu,822.472,126,120,208,488472
aadurrr,818.9,86,115,154,578900
Shourdy,817.061,75,173,139,603061
Levy,816.28,75,110,159,582280
PmK,815.099,107,109,132,576099
Click,813.418,41,178,446,326418
6ax,805.683,93,77,176,536683
Pain5,805.63,117,66,148,540630
Erha,804.293,27,156,476,301293
Taki,802.679,40,138,462,300679
Bwater,802.228,80,156,165,557228
NaiNa,800.577,103,72,197,500577
Tamoz,800.256,81,122,110,609256
ECSTASSY,800.04,97,97,130,573040
Pabu,799.146,107,96,207,485146
Krastyel,799.144,62,178,347,390144
Vyctor,798.447,114,70,122,562447
Tasteless,796.919,24,122,521,251919
Nero,796.732,88,96,278,430732
Cavalo,795.875,39,129,459,297875
Adyyy,791.587,100,80,134,557587
Stormax,790.074,70,138,239,481074
KKT,789.923,83,129,271,435923
Gru,789.517,97,53,125,567517
PepiineroJr,787.689,112,73,132,543689
C7,783.19,98,111,165,520190
Van,779.919,138,75,197,444919
Beenie,779.128,91,84,152,536128
Nino,778.298,78,118,154,546298
Mafro,776.905,104,71,271,401905
Kenma,776.848,78,84,164,534848
Hiro02,774.793,68,83,169,537793
Sleyer,772.023,88,92,121,563023
Taiyaki,771.548,37,125,498,236548
Ackerman,771.076,27,118,418,326076
Ivama,770.205,84,111,234,452205
Aikawa,769.368,66,56,119,584368
Carnage,769.287,109,113,250,410287
Furby,767.831,34,132,447,286831
Kaseko,767.516,31,184,453,283516
Niket,767.499,19,179,478,270499
The Mountain,767.198,73,90,203,491198
TopLop,766.577,31,136,444,291577
BioPanther,764.823,56,102,162,546823
Aincardz,764.219,98,118,227,439219
BartonaR,763.584,89,121,205,469584
TheSerius,763.419,84,122,187,492419
Shookz,763.374,93,92,207,463374
WARANGELUS,763.108,89,65,144,530108
Nyx,762.923,82,138,232,448923
Liivek,762.917,93,79,170,499917
Parus,759.865,38,160,454,267865
Miata,759.208,77,102,257,425208
Piku,758.559,95,88,235,428559
Kazunn,758.05,87,94,162,509050
Marlley,756.563,32,156,417,307563
kPr,756.0989999999999,82,55,137,537099
DrCalculus,755.564,68,130,141,546564
Yen,755.357,101,76,125,529357
Zothve,755.0219999999999,79,109,133,543022
Jalleba,754.856,113,65,132,509856
monkaS,753.592,24,145,474,255592
tomomaso,752.447,96,108,103,553447
Sebekx,752.361,91,62,136,525361
Wink,751.555,35,164,419,297555
Farfetch,750.95,37,149,484,229950
Kozak,749.601,94,41,111,544601
Courage,747.109,82,140,229,436109
Hery,746.675,60,100,160,526675
Soraaa,746.056,30,155,477,239056
Xiaoxia,745.982,27,174,460,258982
Nash,745.467,40,155,465,240467
David,742.502,85,97,140,517502
Nerion,739.794,98,182,229,412794
behave,738.769,98,130,224,416769
MyCash,736.685,68,90,154,514685
frosty,732.917,29,108,421,282917
Shredder,732.22,23,144,460,249220
Sw3ry,731.388,32,184,442,257388
MrFreezed,729.436,108,91,124,497436
Stray,729.143,89,104,115,525143
Eyla,729.064,32,144,427,270064
jokaa,728.4399999999999,85,120,216,427440
Goldenpenny,725.881,109,80,129,487881
Vlaren,725.829,45,128,376,304829
Bazz,725.181,76,55,93,556181
Passzi,724.933,37,171,446,241933
Hitsu,722.775,91,80,118,513775
Only35,721.906,23,158,438,260906
Toasty,721.824,101,48,128,492824
Slowz,719.963,109,78,115,495963
Seneca,719.796,33,95,451,235796
Horus,718.995,105,76,119,494995
AwerpiS,718.634,48,124,405,265634
FliiZee,717.2239999999999,106,35,120,491224
Fuuu,717.028,63,78,124,530028
Zyko,716.842,39,128,439,238842
Kokos,714.682,97,96,207,410682
Calmsky,711.823,35,171,396,280823
Fleshy,710.564,28,128,380,302564
Rafitta,709.052,106,38,140,463052
Baiye,709.016,90,65,110,509016
Polychiki,708.712,52,190,375,281712
Kaii,708.1800000000001,105,50,101,502180
IlllIma,706.756,77,114,126,503756
xMatty,705.624,108,53,137,460624
Highway,704.487,32,177,393,279487
MKR,700.267,78,69,129,493267
Drakehero,700.112,84,107,204,412112
0ri,699.651,113,128,181,405651
Naitz,698.617,66,64,112,520617
fishone,697.746,100,61,157,440746
RKR,697.131,50,106,111,536131
nvillada,696.699,67,79,135,494699
Klownz,695.825,29,172,396,270825
Pancake,695.621,87,68,179,429621
Kaboom,695.316,100,92,179,416316
EL,693.752,137,53,217,339752
Leleko,693.473,67,62,128,498473
Bradley,693.297,74,53,122,497297
Breezy,690.657,32,121,408,250657
Guwon,689.109,98,119,172,419109
BOO Blender,688.166,113,90,168,407166
Sobakk,686.691,31,180,381,274691
Urgaleex,686.09,99,101,99,488090
Sunblast,684.962,67,90,125,492962
Yusah,683.939,87,78,238,358939
Shu Hari,682.857,38,121,378,266857
Nata,682.826,97,51,110,475826
Twiizt,681.844,30,162,393,258844
Macaquino,681.594,51,89,108,522594
Shlatan,681.394,83,134,196,402394
Gastruks,680.1,29,128,429,222100
Mago,677.34,81,71,125,471340
VT Nangning,675.928,99,65,135,441928
Tahahy,674.962,32,149,418,224962
Anyyy,674.462,60,43,106,508462
Dec0y,674.11,54,85,87,533110
Kerry,672.578,57,234,343,272578
Sidav,672.223,115,68,126,431223
starkyy,671.639,61,105,131,479639
Levitate,671.449,91,54,124,456449
RustySniper,671.228,82,82,81,508228
Aegis,670.864,78,82,241,351864
Joekie,670.46,87,101,200,383460
Moham,670.426,22,148,400,248426
DG socceryakyu,670.35,135,46,168,367350
Yuuji,669.941,79,49,217,373941
Andathy,669.274,84,129,193,392274
Gaeng,669.065,26,228,386,257065
Ichiwin,668.798,20,98,438,210798
Ayel,666.884,86,72,145,435884
Zhuo,665.955,17,145,383,265955
justcan,665.92,24,140,414,227920
SanSan,665.907,81,93,216,368907
BVL udon,664.28,70,126,146,448280
Mirrowfox,663.645,89,64,109,465645
Minui,663.405,29,142,376,258405
HALdesu,663.295,90,97,224,349295
sanghyeon,663.138,26,119,429,208138
BVL uwaaaa,662.578,67,116,173,422578
CROmpir,661.698,82,26,117,462698
Deceiving,661.309,77,66,156,428309
Kruimel,660.555,84,39,112,464555
Trymbi,660.008,25,143,399,236008
Castle,654.975,62,108,75,517975
Linfeng,654.184,73,73,119,462184
Hygon,654.1,74,110,187,393100
Colomblbl,653.794,31,136,379,243794
Marvin,653.385,61,75,111,481385
Alive,653.222,91,59,122,440222
Sheiden,652.966,79,99,180,393966
Sudzzi,649.303,63,66,115,471303
Divine,647.918,78,64,115,454918
shochi,647.082,76,55,135,436082
Putin,645.893,64,87,110,471893
Instinct,645.886,84,51,98,463886
Rewound,645.009,88,61,227,330009
moe,643.651,72,129,232,339651
DG Etude,643.141,77,72,153,413141
Bio,642.681,79,131,191,372681
Tiphat,642.394,84,107,197,361394
Opeduy,640.188,84,66,110,446188
Koldo,640.01,68,103,209,363010
Baul,639.118,71,92,237,331118
Harp,637.8530000000001,34,141,349,254853
DG kumuo,635.773,106,41,163,366773
Sty1e,635.49,64,42,148,423490
raedz,635.179,74,39,117,444179
denizzz,634.311,78,90,195,361311
Kappa1,633.747,77,62,146,410747
Enjawve,631.518,26,183,363,242518
Paixdia,630.749,31,170,381,218749
Camana,630.587,87,49,128,415587
reje,629.591,85,83,94,450591
Namsi,629.136,25,199,379,225136
Dooly,627.854,71,78,120,436854
Peng,627.077,71,42,142,414077
Sadaz,627.016,90,54,118,419016
MnM,626.703,31,95,362,233703
Deidara,624.475,60,115,101,463475
ZaFiR,622.792,20,163,369,233792
Slayder,622.566,94,53,101,427566
Enricfh,620.1220000000001,78,97,218,324122
Zev,618.809,73,67,126,419809
Simpy,618.5980000000001,25,102,404,189598
Oddielan,617.92,57,80,217,343920
Sushee,616.927,88,28,106,422927
MrHB,616.862,87,51,99,430862
HNS Rumi,614.048,111,110,60,443048
Color,612.3779999999999,70,47,137,405378
Leo s Man,609.904,16,178,375,218904
micaO,609.867,99,45,124,386867
Sh3ry,609.639,73,92,205,331639
Barrage,609.627,62,97,105,442627
VT saru,608.161,93,76,119,396161
HONOR,607.564,17,147,292,298564
Popon,607.253,84,83,201,322253
SCARY,606.465,62,90,210,334465
Stend,606.2669999999999,18,156,338,250267
Fatorix,606.09,78,44,135,393090
Bananitoo,604.838,36,109,379,189838
Ceos,603.76,17,146,357,229760
vayu,603.699,50,99,100,453699
Mauki,602.897,62,60,112,428897
Malrang,599.859,49,98,216,334859
Joao,597.397,75,107,180,342397
Lojaz,596.472,60,127,190,346472
sucuranbul,593.432,55,102,140,398432
c0st0m,590.773,63,53,111,416773
Heng,589.385,58,87,173,358385
Sounda,589.144,56,76,210,323144
Mega,585.112,34,97,343,208112
Abbedagge,585.086,52,100,68,465086
BOO Razer,585.037,83,63,129,373037
Taicho,584.5070000000001,80,117,99,405507
Closer,583.44,67,61,204,312440
xiaofang,582.862,86,70,177,319862
Cripple,581.608,70,99,99,412608
Skyp,581.554,73,41,110,398554
wittman,581.0840000000001,108,47,82,391084
Guli,579.7049999999999,82,86,145,352705
Licorice,578.605,57,72,111,410605
Undefined,578.422,32,141,352,194422
DG hatinyang,574.681,84,78,138,352681
Frexey,571.125,73,61,94,404125
Buchi,569.543,52,82,96,421543
Janis,568.472,48,93,182,338472
BiIIy,567.149,73,65,232,262149
Tochas,565.793,26,135,330,209793
Ze Luis,564.764,26,107,332,206764
Arrietty,564.58,69,71,135,360580
Roi DEMON,563.337,64,81,156,343337
Overpow,562.593,58,44,91,413593
Jauny,562.551,63,39,141,358551
Neadz,562.405,80,48,96,386405
Obstinatus,560.793,27,121,331,202793
TheGreatGary,558.164,49,73,120,389164
Royeq,557.845,71,43,77,409845
Sweeho,557.677,69,42,107,381677
Smarty,556.908,24,154,327,205908
Worthless,556.597,64,41,134,358597
Vizzpers,555.126,69,76,77,409126
Krosak,554.319,65,94,120,369319
Camilonicolau,553.22,74,87,150,329220
Blueboar,552.7,67,88,223,262700
Luon,551.505,26,149,291,234505
Ryuk,551.149,80,31,94,377149
TolanD,550.489,44,58,122,384489
Momochi,550.2570000000001,13,126,338,199257
Lonely,549.451,55,95,100,394451
Daemi,548.284,60,63,91,397284
Mataz,547.682,77,48,191,279682
kkero,546.921,29,127,326,191921
Ariana,545.675,71,59,87,387675
OWLONSKY,545.073,81,55,174,290073
Akanania,544.557,81,45,113,350557
Leandrinn,543.798,88,64,74,381798
Kumew,543.644,69,36,96,378644
Lirua,542.399,24,234,307,211399
Slide,541.798,67,62,120,354798
Sjakal,541.0840000000001,85,116,136,320084
Isles,540.9739999999999,16,121,280,244974
Blind Walker,540.646,49,98,172,319646
MegaJ,537.879,56,90,124,357879
Busvicke,537.039,52,61,148,337039
Padawii,537.033,83,43,92,362033
Skude,536.359,54,95,164,318359
Kingsblade,536.162,48,61,126,362162
Makk,535.736,60,85,112,363736
Wolorz,535.1469999999999,63,35,122,350147
Fragola,535.005,49,94,181,305005
Philip,532.607,42,45,109,381607
Shini,532.543,63,80,147,322543
MDB,532.515,69,49,120,343515
Follow,530.897,67,60,171,292897
bakisa,528.89,89,64,90,349890
Pinkmin,527.965,26,91,309,192965
Cypher,525.854,68,42,88,369854
LP,525.597,48,51,93,384597
Manel,524.899,27,120,272,225899
KryRa,524.801,55,52,159,310801
KalenBoss,524.615,70,63,168,286615
Jenxas,524.2620000000001,79,75,137,308262
random,522.975,48,49,125,349975
Ardo,522.941,24,127,328,170941
Dandom,522.382,40,84,208,274382
BOO FuraFura,519.912,58,65,124,337912
Biskoo,519.569,18,169,300,201569
Seeker,518.985,49,88,89,380985
NattyNatt,518.621,55,70,176,287621
rovex,518.6,24,124,322,172600
LVS,518.409,55,63,84,379409
Gus,517.612,59,48,109,349612
Dragoon,515.096,48,90,82,385096
Lagolinas,514.904,71,67,138,305904
nicolaiy,514.442,83,54,170,261442
Sunfry,514.172,33,132,290,191172
Damage,513.851,23,122,310,180851
Unforgiven,513.725,61,76,172,280725
Lauxio,513.319,17,177,298,198319
Tory,513.313,64,45,112,337313
89,512.994,60,111,178,274994
Ganks,512.705,62,62,138,312705
Telas,509.566,26,74,305,178566
Gaëthan,509.461,73,55,87,349461
Biofrost,507.949,14,86,319,174949
Odessa,507.784,31,86,278,198784
SweetMilk,507.759,30,108,307,170759
Maru,507.293,83,82,151,273293
Mako,506.46,52,66,84,370460
Straka,505.275,60,56,113,332275
Daiky,503.58299999999997,78,52,144,281583
Myrtus,503.553,17,134,289,197553
Skeeto,500.048,61,44,84,355048
Warrior,499.861,54,63,98,347861
Jericho,499.576,57,76,101,341576
Carros,498.891,82,58,87,329891
ScienTrist,496.272,24,98,300,172272
Coldraa,496.133,53,34,102,341133
Iheb,495.605,19,123,325,151605
MAXI,494.498,60,60,144,290498
lobellan,494.274,41,77,92,361274
XiaoXiang,492.941,57,27,151,284941
Brizz,491.99,40,79,173,278990
Kaori,491.722,80,38,83,328722
Adiss,491.626,40,60,134,317626
Tayron,489.537,50,67,94,345537
NCP Nangning,489.324,69,34,83,337324
Balyy,488.903,67,43,128,293903
Kobbe,488.029,62,39,75,351029
Yoangi,486.253,66,35,97,323253
SeMike,485.716,54,64,99,332716
Shack,484.725,60,64,113,311725
selenex,483.739,31,92,73,379739
Kenvi,483.318,77,61,134,272318
Arp,481.746,76,78,142,263746
zay,481.56600000000003,20,111,249,212566
Satan,481.404,56,45,78,347404
REV,481.40299999999996,47,84,95,339403
Kocourek,481.135,49,86,210,222135
Hattor1s,480.637,71,58,74,335637
Pcelica,477.927,79,85,86,312927
Humzh,477.733,61,41,94,322733
Ajwad,477.34900000000005,74,51,141,262349
eXyu,476.353,38,117,134,304353
xiaohuangren,475.574,55,92,112,308574
DG applepasta,475.483,67,55,122,286483
Keel,475.415,45,98,129,301415
Tuercas,474.669,65,78,91,318669
Rwei,474.618,63,75,151,260618
DNTL,473.073,59,62,74,340073
Doni,472.349,45,46,115,312349
Nestea,471.238,65,54,102,304238
Tima,470.948,72,67,132,266948
Built,470.09499999999997,59,52,118,293095
Tumay,469.777,77,56,124,268777
Viciun,468.656,39,96,198,231656
Xayoo,468.513,48,44,106,314513
Stookbeer,467.80899999999997,21,85,290,156809
Shizika,467.64300000000003,58,103,96,313643
Mita,466.84,28,119,273,165840
YYG Magus,466.661,23,81,316,127661
Nomi,466.031,71,29,62,333031
Nary,465.841,48,59,109,308841
RedBert,464.987,21,102,267,176987
Lyonz,464.803,25,80,263,176803
xGenesis,464.418,53,65,103,308418
Paresz,462.3,67,60,151,244300
Leo,462.022,61,56,89,312022
SaintSamson,460.744,37,39,106,317744
Citrus,460.382,41,72,139,280382
Chance2Win,458.39,75,74,53,330390
Bandit,457.883,73,46,121,263883
Rahel,456.48,46,38,56,354480
Bruhruto,455.806,23,135,249,183806
Guppy,455.471,66,42,92,297471
Sunleaf,455.43,70,43,97,288430
CK GOMAMUGICHA,453.144,17,88,287,149144
Lilv,452.39,75,65,97,280390
Strava,451.517,43,93,83,325517
Ludas Matyi,450.672,30,73,269,151672
Shavo,450.463,35,67,116,299463
PiskHello,449.998,58,34,84,307998
LIDER,449.762,49,56,107,293762
Yuri,449.721,55,43,93,301721
Yaavi,449.55,54,40,70,325550
