playername,kills,deaths,assists,damagetochampions,dpm,visionscore,totalgold
Daglas,267,162,646,1219373,474.8203075,3484,980652
DahVys,230,180,493,861763,540.5947040816327,2218,602653
Daiky,78,52,144,281583,516.5630866666667,776,196156
Dajor,345,195,585,2018990,788.2930752941177,3140,1125520
Daksider,230,100,201,882381,710.7875054054053,974,569844
Damage,23,122,310,180851,192.5310142857143,3300,230515
Damocles,275,126,244,1244164,798.7894479166666,1406,695873
Dan,167,117,302,830985,568.1908909090909,1559,590342
Danden,22,40,79,138052,436.29954,248,100976
Dandom,40,84,208,274382,349.08344,970,263332
Dani,153,114,215,857793,735.4551272727273,969,472011
Danilo,42,41,104,256389,536.5943374999999,286,180110
Dardoch,116,116,287,609210,448.6716175,1820,494128
DarkBlue,18,11,16,77475,747.9446666666666,47,45891
Darkeszy,206,154,320,1057029,595.9022350877193,1346,680172
Darky,1,6,19,31104,468.35540000000003,48,21143
David,85,97,140,517502,687.4165652173913,608,295758
Davyyy,1,2,2,15045,555.5077,11,8699
Dawciu,126,120,208,488472,426.738321875,1311,400387
Dawerko,9,28,51,82791,440.2403,375,53541
Dawi,25,33,21,173015,827.5016428571428,115,80337
Dawn,32,15,62,156131,741.0262285714286,251,91700
Daystar,366,327,762,2379951,702.9367971698113,3440,1373243
Deadhound,47,41,51,218025,750.11033,233,121490
Deadly,170,106,233,1065778,706.6718511627907,1714,632359
Dean,219,243,596,1023334,442.54790821917805,2676,842061
Deant9,218,164,312,976042,737.365375,951,526490
DeathArrow,7,6,8,28349,409.72805,50,26053
Dec0y,54,85,87,533110,611.117516,578,293570
Decay,216,128,324,1340273,701.1357433962264,2026,773501
Deceiving,77,66,156,428309,721.09815,448,249150
Deceller,27,45,59,133046,333.20166666666665,484,128147
Deepe,35,24,74,208647,803.136,284,102448
Degh,11,10,28,69263,432.8588,129,53890
Dehaste,32,22,91,239498,861.4342888888889,306,118645
Deidara,60,115,101,463475,589.4307333333333,744,289132
Dejo,1,23,14,17365,128.49608,397,28394
Dekap,96,220,1048,611241,233.61586428571428,9561,701270
Deletus,27,28,50,108967,415.06455,316,92659
Delight,110,365,1391,803484,210.02146050420168,13816,1003448
Deliverzz,22,40,47,93644,361.8431875,342,85985
Demoncior,18,23,15,81383,556.6352166666667,93,58214
DenVoksne,289,172,350,1661148,786.678380952381,2067,927088
Denathor,144,121,224,897821,596.7547863636363,1245,577616
Destroy,30,48,97,238681,415.663725,642,203879
Destru,26,8,31,86136,685.75115,97,53305
Devn,271,117,458,1306730,669.0601721311475,1560,815596
Devost,141,137,322,867576,676.9496945945946,1330,506024
Dextyle,8,61,123,89393,196.66100714285716,1391,108375
Dezo,23,20,23,109627,687.11536,105,62092
Dhokla,3,11,11,50360,520.4913,89,34790
DiDi,182,99,274,805398,685.0016333333333,1118,478925
Diable,367,212,421,1816763,735.3012576923077,2924,1090346
Diamond,13,54,168,130933,259.06116875,1686,131096
Dinai,31,22,43,93554,497.76756666666665,234,72872
Dinastik,41,35,58,251119,594.4048,355,165255
Dino,24,44,37,108353,328.64908,377,105282
Dionelux,140,175,301,866868,544.8288857142857,1249,576784
Dipi,25,16,38,125906,814.27562,154,65646
Diplex,140,96,252,1007701,681.8924395348837,1519,572847
Dire,171,90,285,962410,633.1793891304347,1301,603336
Disamis,135,106,312,560775,421.2263512195122,2010,492150
Diva,43,24,38,156025,832.8666166666667,201,79723
Divine,78,64,115,454918,594.2014043478262,492,283493
DizL,6,15,9,33375,627.6510499999999,25,19990
Dizin,152,137,360,538715,393.1309333333333,1916,493572
Djoko,159,99,339,747429,603.2474694444444,1351,458822
Dman,5,10,8,43187,673.76485,49,21629
DnDn,120,122,198,782991,574.0826475,1514,534907
Doggo,528,164,494,2272134,754.0704284210527,3988,1398436
Doinb,320,262,741,2012212,626.6120010416666,3673,1273725
Dolis,142,89,226,801023,651.8076210526316,1299,489939
Domas,86,139,243,512273,501.67545806451614,1814,329802
Dome,39,33,76,145294,437.26138181818186,412,129271
Don Ponk,13,55,109,86374,284.82851999999997,884,77842
DonJake,18,37,25,66086,356.98011428571425,115,60419
Doni,45,46,115,312349,687.1362692307692,510,172129
Dooly,71,78,120,436854,671.1888285714285,457,261494
Doran,359,379,744,2354015,634.6336042735043,3997,1486969
Dorian,5,11,81,24643,214.62397499999997,433,35443
Doss,71,252,777,485128,181.56102467532466,9317,668000
Dotmm,218,203,375,1202656,700.3340945454546,1773,703618
DoubleAces,28,28,104,149326,473.3796333333333,456,114138
DoubleAiM,150,143,271,567309,538.3996970588236,1265,397795
DoubleB,42,66,58,236332,484.5745133333333,462,174305
Doublelift,171,84,194,819457,726.0821272727273,1242,509839
Doxy,41,38,56,252716,617.9479230769231,350,147007
DrCalculus,68,130,141,546564,559.064840625,564,337098
DrSaw,15,28,28,100407,498.75050000000005,187,72042
Dragneel,7,25,30,96414,478.02365714285713,144,64232
Dragonblood,160,126,401,590022,515.9615225,1522,445836
Dragoon,48,90,82,385096,584.72159,438,228606
Drakehero,84,107,204,412112,385.4165612903226,1585,362894
Draktharr,184,133,304,703745,539.77352,1908,508058
Drannarith,14,35,116,82565,233.387975,985,90109
Draxo5,8,8,18,34843,676.344,41,19916
Dream,47,37,69,249603,778.20235,315,132496
Dreilix,21,20,9,108550,1041.1022,74,43194
Driver,112,120,374,977879,590.2615849056604,1640,643777
Dro,13,21,19,76458,529.7002749999999,175,56648
Droekt,7,32,34,78344,439.39003333333335,344,51464
Drofan,175,112,269,564285,577.888803125,1061,404176
Druk,3,6,5,27388,457.81190000000004,41,20314
Druust,117,117,222,694451,614.2733142857143,1136,413089
Druxy,168,91,258,746916,731.842515625,1087,441547
DuDu,179,234,299,1472258,564.1624512820513,2351,943946
Ducks,9,59,97,72635,207.51421818181817,994,83253
Duduhh,36,27,65,246886,755.2974222222223,408,136650
Dumbao,5,9,3,29090,616.3453999999999,41,17557
Duro,81,338,1356,714132,190.87854833333333,13392,963449
Dya,118,56,177,595669,751.51656,820,338003
Dyego,28,33,17,126428,725.6138166666666,111,65226
Dyenn,189,94,258,1012501,814.8588114285714,1019,531061
Dzeffry,218,205,329,1257768,741.0534296296296,1232,699631
ECOGentlemanHer,3,12,11,38619,603.51035,47,21788
ECSTASSY,97,97,130,573040,625.5186166666666,691,350711
EDGY Palkia,1,6,23,13690,241.03719999999998,188,15186
EDGY linn,15,8,11,31524,546.93865,75,26101
EDGY mikasa,6,10,16,35378,612.3433,79,21466
EDGY qiuyu ,3,8,7,33815,590.85495,49,20254
EE miflond,9,6,24,27976,452.4309,65,25376
EG Digit,24,23,56,129994,662.2398333333334,173,79123
EG Raiderr,1,4,7,11928,542.5929,18,7353
EG Ratel,41,39,50,169697,777.7946857142857,169,92204
EG Yuta,32,36,38,144238,644.8029285714285,205,81965
EG ZeeTee,3,41,98,48271,221.75435714285712,697,55839
EKO DVN,15,1,15,42571,660.88975,60,29213
EKO K1NG1,2,2,4,19625,646.6227,13,13047
EL,137,53,217,339752,490.89566399999995,974,285034
EN,14,130,132,88569,193.51425882352942,1301,115095
ESBA DON ADY,25,13,21,101341,917.0783666666666,64,48539
ESCIK,192,112,268,1065866,734.0463886363636,1401,606912
EUNE,0,5,3,2810,104.7205,73,5888
EVO Dayllen,1,5,3,9783,313.7253,44,9359
EVO Fat Yoda,2,6,6,25265,416.33205,35,21479
EVO Geraldes,7,14,3,31780,529.3868,24,22873
EVO Ghost3,5,11,8,30897,516.20935,35,23074
EVO Kryzen7,6,3,4,14399,495.9472,40,11452
EVO Tebi GG,0,9,14,10576,175.77114999999998,164,13354
Early Bird,10,15,16,87531,710.95295,79,48247
EasyLove,0,3,2,7905,300.38,30,8650
Eckas,140,106,367,656512,493.52195250000005,1999,486514
Eclipse,467,232,541,1963847,857.6237916666666,2523,994950
EdbyK,18,34,64,156907,638.2027375,229,91826
Eddie,188,87,291,1100931,729.5683152173914,1823,663372
Efias,16,51,153,99835,215.3155,1664,116717
Egnom,29,23,26,101969,495.65020000000004,180,80391
Egotistic,22,19,32,108897,517.2524857142856,164,81716
Eika,197,157,371,1459196,591.6093882352941,2687,948324
ElOjoNinja,12,36,22,65145,283.39643333333333,238,69313
Electro,32,54,49,215985,574.8093416666667,207,138279
Elijah,45,35,55,330897,683.4596642857143,475,193675
Elio,41,247,820,523108,192.66812168674699,9227,666961
Elix1r,50,62,113,186221,466.5306230769231,458,144661
Elk,725,323,990,3628381,785.6376056737589,5662,2091317
Ellim,235,235,504,1000463,389.7465405063291,3831,926184
Elramir,179,173,644,822952,435.59996875,2799,702141
Elyoya,209,169,593,1019674,384.38244430379746,4257,935646
Emo,108,82,236,612944,526.8024705882353,1319,464362
Emprez,7,11,5,22189,449.0806,54,16554
Empyros,170,196,283,1307174,535.9609705882352,2667,942028
Enapon,88,242,579,521094,324.8382981132076,3889,430807
Endless,60,43,85,302472,826.9350090909091,294,148302
Endz,2,18,41,21495,217.65866666666668,312,24281
Eneino,7,22,10,64388,468.41174,73,49506
Enga,148,99,305,862759,689.7732205128206,1270,525460
Enigma,21,31,41,195641,667.638875,420,106701
Enjawve,26,183,363,242518,220.4621382352941,3707,271159
Enkil,11,49,162,87461,204.71714615384616,1324,107313
Enosh,108,88,169,603956,667.4091888888889,948,380873
Enricfh,78,97,218,324122,349.10963846153845,1346,315794
Enthralled,29,33,56,180565,549.8827454545454,332,128373
Envy,196,111,328,1089129,762.544176744186,1346,583949
Envyy,341,215,484,1643733,675.8042428571428,2491,1030542
Ephekles,4,34,72,39362,203.6206,620,47709
Equinox,12,8,13,61558,542.7041666666667,125,40024
Erdote,41,211,602,425931,177.3838,8693,560308
Erha,27,156,476,301293,191.7146541666667,5670,382026
Erk,0,7,8,10079,188.7073,170,11446
Ermoke,0,8,1,9396,406.46,9,6776
Erolle,2,8,44,18593,222.0512,193,22869
Errado,5,9,29,34213,352.4264,92,33898
Ersin,18,29,57,130474,413.61377500000003,298,110704
Escanor,5,33,22,77770,518.5014199999999,149,51270
Eski,13,39,144,96721,219.02529285714286,1364,114027
Eskiper,7,48,77,52698,191.00712222222222,737,62945
Esko,203,92,281,956668,697.4416658536585,1312,568899
Ethe,8,36,12,110702,489.0251111111111,137,78793
Etoo,151,98,240,737998,593.0180289473684,777,481937
Euphoria,249,291,353,1346880,719.9979610169491,1587,782147
Ever,53,61,71,174735,409.0845461538462,371,139106
Evi,95,211,224,795445,538.7133413043478,1367,505334
Excaliburt,1,15,26,19421,249.80023333333335,228,18496
Exduardo,28,18,29,85911,594.71286,87,62408
Execute,11,129,205,146682,152.5818111111111,3565,218753
Exile1,57,73,115,199829,459.09633571428566,498,151784
Exiled,0,7,16,6206,147.4693,135,9263
Exofeng,237,101,227,993229,795.5221777777778,1013,535547
Eyla,32,144,427,270064,197.2858925,4895,335623
Eyliph,96,121,175,605486,597.3512161290322,946,372937
F0X Fr0zen ,2,6,28,8975,125.88295000000001,275,18743
F3IV,0,8,1,14171,533.0784,6,8389
FATE,132,134,242,968716,662.1122282608695,1374,563597
FBI,180,107,252,1098913,795.97492,1437,579741
FENZ1,190,94,293,975025,816.7400540540541,993,514259
FGG,61,211,712,396357,219.7821603448276,5801,459056
FIERCE,136,44,140,609100,846.7473136363637,586,315385
FIESTA,214,217,372,1331442,805.362318,1845,677852
FLH Frankfurt,9,5,9,45020,802.52045,34,23841
FRAC Radar,1,5,0,14742,493.5938,21,10346
FS ChallenQ,78,25,43,273432,963.2706444444443,182,132997
FS Oliv,25,32,78,167575,604.9183666666667,241,117590
FSZ,157,117,258,861714,710.4422594594595,1172,481494
FUE Devost,15,10,25,75077,784.1884666666666,73,39962
FVN Shuhari,2,24,40,33456,290.7561,356,27943
Fade,285,172,326,1256351,657.2363383333334,1784,833615
Faded,180,174,242,1040261,811.0935487804878,1128,498303
Faetski,196,117,212,919777,743.2180900000001,946,530824
Faith,3,9,14,21620,367.94875,73,19043
FakeGod,140,74,285,899945,656.5350333333333,1415,543468
Faker,389,275,830,2561624,687.2373316239316,3901,1524798
Fallen,140,150,407,659429,484.12404390243904,1949,485464
Falleo,109,113,134,605004,620.978644117647,743,387399
Fame,23,56,82,150003,421.9499727272727,447,114046
Farfetch,37,149,484,229950,191.1574361111111,4297,313184
Fatihcan,38,49,136,200997,448.92169333333334,949,151974
Fatorix,78,44,135,393090,682.5079777777778,408,246714
Feather,57,356,852,483689,165.59346489361704,10425,703563
Fede,253,143,348,1408218,767.09434,1679,796941
Feisty,251,153,524,1599656,755.9229140625,2474,875331
Feitan,7,27,28,38634,299.506675,433,32494
Felopo,1,4,2,9849,340.0115,37,9981
FenRir,447,214,516,1854609,890.3073529411765,2166,957719
Feng,619,300,794,2285877,782.0302494949494,3677,1270425
Ferenc,12,25,22,98344,591.4354833333333,116,55590
Ferrari,19,37,74,92187,269.6660818181818,396,117101
Ferret,177,140,570,835969,403.2769953125,3421,755631
Fikus,42,96,79,292420,519.6578400000001,385,198911
FireAscept,25,40,45,180895,559.98306,365,119770
Fireblade,27,25,58,138084,509.44264444444445,239,105685
FisheR,7,10,16,61706,576.6569000000001,67,37334
Fisher,357,288,637,2418323,733.093881,3671,1337552
Fishireal,40,47,67,245618,587.3660769230769,195,150440
Fishue,20,19,24,59224,359.05654000000004,148,51713
Fla01,2,18,14,16343,169.67073333333335,300,20786
Flakked,141,110,191,980405,654.8719386363637,1948,597891
Flamer,11,8,17,74927,730.1334,88,41513
Flandre,444,353,1078,2851976,603.2953083333333,4676,1852861
Flauren,363,219,515,1747081,702.5595282352941,2619,1039011
FleekZ,2,8,4,6044,127.79294999999999,133,11481
Fleshy,28,128,380,302564,240.28796756756756,4827,316000
FlickeR,309,84,315,1160212,755.8834857142857,1309,710330
FliiZee,106,35,120,491224,841.441625,561,259772
Flip,301,187,401,1702449,832.872240625,1939,866340
Floris56,46,31,68,250857,699.494709090909,207,141152
Fluffy,15,28,46,137851,507.4073625,350,85077
Flying,10,8,12,35245,446.8032,75,28522
FoFo,198,117,429,1540213,754.8459031746031,2342,819563
Fogzy,101,116,130,624542,666.7998535714286,757,357317
Follow,67,60,171,292897,544.02230625,826,202546
FoobaR,38,112,143,263255,403.62833333333333,645,209889
Fool,16,69,114,79448,171.32513571428572,1497,113916
Fooneses,5,15,9,27079,553.97765,47,17745
Forest,257,154,617,989169,609.5306767857144,2346,672347
Forlin,77,98,161,609797,585.20948125,1075,377524
Fornoreason,221,217,281,1360593,655.6777492063492,1787,838740
Fortu,9,57,103,89031,249.57713636363636,1141,82840
Foxie,128,106,189,621608,740.1746518518519,545,346903
Fragola,49,94,181,305005,396.85209166666664,1144,255751
Franky,41,39,68,199547,589.8219363636364,248,126993
Frappii,18,11,19,98666,927.2717666666667,76,50606
Fred,29,17,53,124172,642.6487142857143,177,78742
Free,17,8,26,83956,644.061825,119,54894
Freestyle,7,46,41,47835,270.2158166666667,440,42642
Fresskowy,167,103,270,1015509,707.3229837209302,1613,602255
Frexey,73,61,94,404125,694.5172176470588,467,235935
Friple,3,7,9,13329,470.9894,33,10264
Frixter,2,7,13,39082,409.7917666666667,108,34405
Frog,268,182,545,1687739,555.0364911111111,3192,1186242
Frost,204,210,553,1064741,525.3888389830508,1955,743289
Frozen,48,229,604,332961,182.3169509090909,6119,450523
Fudge,134,136,222,907300,547.7488760869566,1539,628797
Fugu,7,5,11,44156,500.77,96,30627
Fun K3y,202,97,255,1004065,777.880447368421,1486,569074
Funky Dog,159,103,335,603647,515.8330888888889,1762,442294
Furby,34,132,447,286831,177.4516612244898,5079,379260
Furuy,265,149,505,1612137,777.916384375,1826,877199
Fush,35,41,56,145250,409.6550909090909,244,124719
Fuuu,63,78,124,530028,592.6154185185185,943,334346
Fynox,20,7,10,66283,807.3516333333333,57,37148
GALA,598,252,685,2840447,775.6287626168224,3691,1630144
GBCN Pyrus,5,21,39,27872,223.778275,398,29587
GDG Compu,0,1,1,5949,208.007,20,10277
GDG miaemi,1,4,1,2776,104.5574,74,6025
GGA Hosanna,5,27,91,50137,343.00602,499,41341
GIDEON,263,300,667,1207827,397.8228,5033,1079932
GLE notiim,21,6,16,72154,1137.2649000000001,64,29953
GLR Nicolayyi,9,14,16,39199,406.57573333333335,99,35085
GLR RonyG,8,22,13,84022,669.4785999999999,77,46269
GMB atatt,0,3,17,7532,271.7498,67,6939
GRX,38,36,88,140734,371.47923636363635,490,124727
GTZ Gary,6,2,13,32076,593.9898499999999,39,21949
GTZ Spy2,12,2,11,27943,747.8055,49,18013
GUP 1334mat,12,4,8,28926,1099.1514,26,15255
GUP Legend,1,3,14,5283,200.7473,64,7425
GUP Ricarderix,1,11,33,25196,296.39816666666667,196,19494
GUP Sidbuck,11,9,13,43209,488.9974333333334,59,28308
GZ Frozen,11,33,83,51090,239.92792857142857,720,57801
GZ Gon,26,28,74,121803,539.8953571428572,319,80493
GZ Herma,36,20,50,192407,1029.80832,182,79393
GZ Kin0,5,24,83,61687,321.87358,642,46262
Gaarfield,11,38,95,76816,272.5208222222222,866,66784
Gaeng,26,228,386,257065,174.79702608695652,4618,338645
Gakgos,128,97,231,637627,588.0186,875,445386
Galaxynt,13,21,21,63186,440.95832,97,52442
Ganks,62,62,138,312705,436.71255454545457,1023,249711
GaraXy,15,30,84,115401,516.3428714285714,287,77057
Garank,5,54,58,64676,199.32419,882,71518
Garden,293,320,546,1975634,675.7237045977012,2944,1137328
Gastruks,29,128,429,222100,192.11366944444444,3943,283201
Gato,10,34,124,74762,295.80265714285713,697,72487
Gatovisck,6,33,53,38877,214.73711666666668,561,44246
Gavotto,237,93,338,1081974,765.3190325,1369,640030
Gaëthan,73,55,87,349461,576.1333666666667,474,250233
GekkoSzaby,1,6,6,8463,358.8551,18,6846
Gemini,231,263,643,930979,392.90683544303795,3521,833037
Genos,19,24,39,112171,610.9261333333333,202,61976
Ghost,48,6,60,202292,930.8635714285714,205,102493
Ghost2,3,6,4,12026,416.1246,19,9855
GianKios,18,29,39,119371,557.7578428571429,233,84346
Gilito,17,72,189,112220,187.94562941176468,2021,149803
Giomatic,0,4,4,6104,211.0893,41,8492
Giyuu,410,187,544,1810290,799.2139342105263,2381,1022680
GoDirr,38,47,63,260687,633.0613846153847,255,155239
Goldenpenny,109,80,129,487881,679.7031173913043,548,303046
Goliah,122,99,284,523007,430.91351578947365,1436,434555
Goliath,89,348,875,627537,265.99336266666666,8126,621194
Gom,9,42,72,54254,217.879575,811,60030
Gon,5,10,22,33576,480.51759999999996,98,22738
Gordinho,3,30,35,25837,170.40720000000002,489,35368
Gori,187,159,357,1256552,819.4394395833333,1393,645960
Grave,213,143,284,1068691,643.6828134615384,1209,704251
Grell,134,121,295,573474,499.0400638888889,1330,415256
Gremy,16,46,33,93230,389.280825,355,79906
Grevthar,162,102,292,950367,666.2170214285715,1644,564429
Grimm,10,15,21,57077,363.52416,126,54721
Grizzly,391,239,644,1391680,479.35637078651683,4402,1134356
Gru,97,53,125,567517,880.9552421052632,565,270304
Gryffinn,21,30,49,104618,432.80965,329,87629
Grèédy,16,99,129,97829,217.5118375,1244,104982
Gtracks,8,22,13,68081,507.52524000000005,62,46705
Guanch0,39,33,52,168868,614.88315,360,105629
Guardian,247,189,327,1377650,715.0551384615385,1692,796275
Guertas,281,143,539,800531,454.44503214285714,2099,693620
Guigo,204,194,362,1390408,693.5127803278689,2009,792821
Guigs,24,100,220,201808,204.1062551724138,3625,231734
Guirlande,14,28,41,67860,339.53928333333334,210,62570
Guli,82,86,145,352705,453.3504913043478,698,287470
Gumayusi,513,184,596,2361359,788.3137032258065,3620,1373995
Guppy,66,42,92,297471,646.470557142857,254,189427
Gury,215,168,457,940778,451.291873015873,3665,786600
Gus,59,48,109,349612,673.00010625,463,206389
Guti,213,144,372,1140499,689.3670450980392,1598,697408
Guubi,30,77,94,201540,488.6237384615385,422,129333
Guwon,98,119,172,419109,403.18139375,1280,366097
H1tokiri,4,6,15,36078,538.8693499999999,45,23719
HAKA,25,60,85,225094,484.7971857142857,479,152335
HALdesu,90,97,224,349295,338.74877741935484,1323,349649
HAP DerSchrank,7,15,30,58765,513.2744749999999,81,37281
HAP Dishonored,28,19,27,89417,775.42665,49,47740
HARPOON,445,145,420,1577208,792.0076016666667,2185,956801
HAWHAW,55,44,72,317609,705.9410642857143,312,193855
HC KZT,29,21,37,100645,652.7998799999999,219,60728
HLE Eclipse,24,14,31,71521,759.9045333333333,83,38162
HLE Hailstone,6,14,45,21540,230.49960000000002,253,22963
HLE Panther,11,12,11,57003,624.8019666666667,77,35043
HM Delta 1,22,14,32,98344,635.6981,149,61028
HNS Bera,6,19,22,38065,254.23008333333334,329,34320
HNS Nakamoto,32,134,71,321795,434.6910555555555,366,230105
HNS R1to,27,80,56,252421,470.61402,429,177865
HNS Rumi,111,110,60,443048,581.8409296296296,708,302441
HNS Skinny,4,24,19,46744,355.63671999999997,149,39019
HNS ekkusu,29,112,103,195226,318.17859090909093,675,187082
HNS phast,12,88,142,105404,183.19127619047617,1565,137517
HNS tetras256,6,22,25,78676,508.90671999999995,115,53015
HNVR Boempel,15,18,32,63091,565.891375,90,45302
HNVR storm,20,14,26,74969,663.994025,54,45630
HOF Crisrock,1,6,7,11928,330.1107,103,8058
HOF Ghost2,5,4,5,17326,470.6021,30,13759
HOF Julzh,2,6,4,15419,418.8049,31,11509
HOF Leazor,4,3,4,31996,869.0629,30,14851
HOF Martim,5,14,4,32646,509.4978,59,21363
HOF Phlloz,1,4,4,11361,308.5831,125,7919
HOF Primata,0,4,8,19934,551.679,37,12990
HOF Sashimi,3,5,2,15677,542.4567,22,9524
HOF Silence,2,3,4,10908,296.2789,34,11163
HOF ThunderPeng,1,22,35,33807,250.34145,365,29322
HOF Zezin,3,17,14,65319,484.159625,62,44572
HOF vicarious,2,11,10,21648,329.70685,72,18526
HONOR,17,147,292,298564,229.87367179487183,4297,295136
HOYA,214,294,491,1589014,539.6293212765958,3079,1062531
HPS EN,5,17,12,13241,236.24194999999997,157,14722
HST David Do,8,5,7,39659,594.83215,75,24149
HST DinhViet,15,19,23,73244,570.579475,120,49888
HST Terry,9,7,17,38859,648.777,65,23025
HST Wady,16,14,28,63904,506.63497500000005,179,47477
Hades2,30,66,97,157008,402.9867230769231,415,126673
Haetae,309,287,552,2190143,636.6882242990654,3451,1359610
Hailstone,90,333,949,498921,221.00193055555553,7118,586279
Hakari,44,51,84,290839,584.3458466666667,480,186232
HamBak,110,176,321,679887,428.51673829787234,2276,529205
Hamsi,15,36,66,177678,611.42628,210,98928
Hamudis,30,51,28,125304,406.4007555555556,257,94988
Hanbyeol,233,307,531,1900231,615.9909105263158,2797,1129559
Hang,48,206,609,336148,178.2016672413793,7033,473754
Hans SamD,344,117,281,1643037,849.8482929824562,2624,915902
Hans Sama,350,161,432,1950625,679.3655127906976,3313,1220494
Haoswen,2,30,78,40022,204.30078333333333,700,48273
Harbo,210,155,298,1100558,749.7646866666668,1273,589717
Harky,211,118,235,974179,807.3599578947369,1525,542763
Harp,34,141,349,254853,196.6996175,4623,312574
Hasu7,323,283,470,1468555,730.9478323076924,1587,798453
Hatsu,104,129,164,719845,580.3146916666667,1103,464824
Hattor1s,71,58,74,335637,733.0241071428571,379,188949
Hauz,145,91,252,867029,743.5135111111111,1347,481989
Hax,35,23,27,111412,754.1621600000001,90,63443
Hazel,165,94,195,867891,722.2306583333334,1124,516697
HeSSZero,197,171,341,1180700,661.9423381818182,1556,706788
Heart,5,10,23,20008,302.20985,93,22506
Hena,100,62,158,673663,685.3220241379311,1207,408070
Heng,58,87,173,358385,418.1159576923077,1159,290603
Henli,34,23,47,159606,629.247075,303,95766
Heprex,3,10,4,39858,299.13808,62,41176
Herma,400,253,556,1862281,800.2622013157895,2088,1006059
Heroic,273,166,293,1191423,864.27116,1016,604860
Heru,26,28,45,165648,724.1747857142857,215,90403
Hery,60,100,160,526675,506.2388625,947,374380
Hetel,36,185,636,287675,191.21431132075472,5057,389895
Hhiep,8,11,17,44613,535.0202333333333,101,34679
HiRit,129,121,207,895219,715.5042657894737,1355,510645
Hid0,59,18,79,259186,746.1300166666666,296,162599
Hidan,47,66,60,330454,495.59444999999994,662,237402
Highway,32,177,393,279487,207.93775454545457,4383,328865
Hika,32,27,45,218137,629.2006909090909,313,138384
Hildebrandt,2,9,10,25044,762.7614,23,9373
Himmel,44,32,92,217490,705.58801,272,131361
Hinata,230,177,386,1156351,761.826725490196,1555,613983
Hiro,7,18,8,47811,426.8548,106,38264
Hiro02,68,83,169,537793,586.5212241379311,1206,353695
Hitsu,91,80,118,513775,735.1009545454546,547,272494
Hizto,163,125,321,619193,417.4374586956522,2299,549565
Hollow,9,17,36,74064,474.19078,87,51890
HongQ,341,256,622,2198978,723.589427368421,3907,1283449
HongSuo,400,182,595,1606802,769.6215140845071,2231,920560
Hope,834,298,1042,3664512,771.5063916666667,6256,2164870
Horder,166,157,248,983139,619.1679630434783,1351,630546
Horus,105,76,119,494995,710.163165,594,265673
Hosanna,68,278,659,443513,255.15210166666665,6026,464106
HotPot,164,299,375,697241,471.2476980392157,2048,514137
Howling,201,162,365,1406953,599.6776028571429,1878,888473
Hran,34,10,38,105082,598.0941833333333,193,82629
Hub,115,111,136,645562,654.1096156250001,691,401715
Humanoid,229,152,344,1409997,729.7787543859649,1771,814162
Humble,15,18,24,83172,613.2223,107,54402
Hummelu,14,11,33,53057,560.6345,100,33540
Humzh,61,41,94,322733,726.58335,392,179244
HungryPanda,85,244,658,415600,226.39509830508473,6526,480942
Hungtwo,1,6,3,4760,169.4955,69,6919
Hunt,22,20,32,76098,651.576925,67,46881
Huron,181,136,376,1055841,745.6619266666665,2091,564076
Husha,57,71,131,250144,360.17085000000003,963,251605
Hustle,135,111,203,618689,740.0407392857143,671,348894
Hustlin,12,55,173,87926,198.97787142857143,1425,108134
Huubiii,12,3,12,35971,659.62965,65,26761
Hwichan,331,151,527,1613112,795.2661287878788,1948,899940
Hydra,176,117,281,973777,673.1685613636363,1441,582985
Hydraa,1,28,23,37897,282.47352,326,30018
Hygon,74,110,187,393100,419.1124892857143,1159,315906
Hylissang,13,76,153,80317,161.25342142857144,1643,124579
Hyorai,18,98,231,181444,266.1540142857143,2169,171920
Hypa,18,43,14,104411,568.4529714285715,99,66473
Hype,289,145,341,1535088,688.8339705882353,2780,943989
Hyper720,13,22,31,104803,559.6804333333333,176,64541
ICON Ace2,16,19,11,43309,526.7554333333334,45,31430
ICON Alitan,12,12,21,30570,374.93216666666666,99,29288
ICON BetoEZ,2,14,36,12777,160.4976,260,20701
ICON Zeckro,9,14,15,33550,414.70193333333333,51,25138
IDA,54,32,66,236570,783.0968666666666,227,122708
IHEBIC,20,59,153,91552,233.26970833333334,1388,102362
IN5 Troublemak,3,12,16,36500,402.87103333333334,88,29881
INF Stepz,10,2,28,33077,591.03435,74,23619
ISMA,159,160,388,735398,415.6274545454545,2582,622400
IanaTheAlpha,3,25,83,40993,190.13197142857143,567,53150
Ibai,219,93,211,1099140,949.76325625,1037,518877
Ice,206,95,257,1157574,729.7493522727273,1811,680761
IceBreaker,5,1,8,17853,732.6813,21,10376
Ichiwin,20,98,438,210798,215.58490625,3333,250633
Icytower,57,30,60,287702,806.3244363636363,312,154601
Iheb,19,123,325,151605,199.76437083333334,2450,196368
Ihy0,38,49,73,203373,450.3217785714286,279,154193
IlllIma,77,114,126,503756,581.8374814814815,699,314775
Ilyxøu,124,147,256,682259,540.5341325,760,458195
Impact,152,176,329,1049961,532.4152833333334,1879,720190
Impp,4,37,41,35220,168.85038571428572,562,47853
Improver,153,170,251,856763,598.3066954545455,1110,548125
Impulse,2,11,2,18843,436.6264,18,13628
Infinity,45,46,81,177899,337.18665,561,175315
Infoneral,63,235,671,429733,230.18274838709678,6236,485021
Innaxe,225,106,260,1149654,842.5251666666667,1470,601197
