teamname,objective_score,result
Inside Games,9.75,2
Invictus Gaming,,63
Isurus,13.875,3
Isurus Estral,17.30263157894737,19
IziDream,18.42391304347826,26
JD Gaming,,60
JY Gaming,7.0,0
Joblife,15.63953488372093,16
Jolly Rogers,18.59090909090909,6
Jörmungang,16.144736842105264,17
KAOS e-sport,11.676470588235293,9
KIA.eSuba Academy,18.183823529411764,41
KT Rolster,16.022222222222222,43
KT Rolster Academy,19.85810810810811,47
KT Rolster Challengers,20.817708333333332,70
KaBuM! Ilha das Lendas,17.039473684210527,18
Kareha Children,15.116279069767442,17
Karmine Corp,20.06989247311828,58
Karmine Corp Blue,22.023255813953487,56
Karmine Corp Blue Stars,13.75,14
Kaufland Hangry Knights,17.726666666666667,38
Kawaii Kiwis,20.34285714285714,19
Keypulse Esports,16.576923076923077,6
Kiedyś Miałem Fun,20.692307692307693,18
KrabbelGruppeAlpha,2.5,0
Kyo eSports,15.214285714285714,3
LGD Gaming,,21
LGD Gaming Young Team,19.166666666666668,6
LNG Academy,17.05,7
LNG Esports,,13
LODIS,14.046875,7
LOUD,17.532608695652176,22
LUA Gaming,16.943181818181817,20
LYON,15.741379310344827,10
LYON Academy,18.14,9
Lechuga Gaming,21.375,8
Lenovo Legion Honvéd,16.535714285714285,7
Leviatan,12.370967741935484,11
Leões Porto Salvo Esports,13.571428571428571,3
Ligre Gaming,11.2,1
Lille Esport,16.214285714285715,13
LittleSans,24.5,2
Los Grandes,19.54054054054054,21
Los Heretics,20.49375,53
Los Ratones,23.134146341463413,69
Luminosity Gaming,23.595238095238095,33
Lundqvist Lightside,14.942857142857143,13
Lupus Esports,9.42,4
MGN Vikings Academy,17.76086956521739,12
MGN Vikings Esports,18.58730158730159,38
MY STAR,14.426470588235293,13
Macko Esports,20.526315789473685,15
Magaza Esports,12.666666666666666,4
Malvinas Gaming,15.65,9
Maze Gaming,18.86111111111111,21
Meavedron,17.833333333333332,41
Melilla Titans,5.75,0
Mental Over Tempo,16.55,5
Metin2 Enjoyers,3.5,0
Mighty Eagles,16.125,3
Mila Gaming,15.84375,8
Misa Esports,19.066176470588236,44
Monta Club,17.205882352941178,12
Movistar KOI,18.09493670886076,43
Movistar KOI Fénix,16.872093023255815,21
Myth Esports,16.141304347826086,21
Münster Esports - Golden Goats,0.0,0
NGU eSports,21.333333333333332,3
