teamname,void_grubs_sum,void_grubs_avg,opp_void_grubs_sum,wins,games,voidgrubs_ratio,winrate
Oxygen Gaming,97.0,2.3658536585365852,74.0,26,41,0.5672514619883041,0.6341463414634146
PRINCIPALITY,25.0,2.5,35.0,2,10,0.4166666666666667,0.2
PSG Talon,165.0,2.323943661971831,159.0,38,71,0.5092592592592593,0.5352112676056338
PSG Talon Academy,114.0,2.0727272727272728,142.0,28,55,0.4453125,0.509090909090909
PaiDA Miwan Bao,3.0,3.0,3.0,0,1,0.5,0.0
Papara SuperMassive,153.0,2.55,165.0,31,60,0.4811320754716981,0.5166666666666667
Papo Secos,0.0,0.0,6.0,1,2,0.0,0.5
Paputs Gaming,5.0,1.0,10.0,0,5,0.3333333333333333,0.0
Partizan Esports,36.0,4.0,18.0,5,9,0.6666666666666666,0.5555555555555556
Partizan Sangal,74.0,1.6818181818181819,91.0,29,44,0.4484848484848485,0.6590909090909091
Permitta eSports,9.0,1.8,15.0,2,5,0.375,0.4
Priority,21.0,1.9090909090909092,12.0,3,11,0.6363636363636364,0.2727272727272727
Project Conquerors,115.0,1.9491525423728813,173.0,36,59,0.3993055555555556,0.6101694915254238
Pulse Star,77.0,2.40625,69.0,8,32,0.5273972602739726,0.25
PÊEK Gaming,71.0,3.0869565217391304,43.0,10,23,0.6228070175438597,0.43478260869565216
QT DIG∞,163.0,3.0754716981132075,71.0,35,53,0.6965811965811965,0.660377358490566
RATZ,61.0,2.103448275862069,98.0,10,29,0.3836477987421384,0.3448275862068966
RED Academy,103.0,2.7837837837837838,56.0,30,37,0.6477987421383647,0.8108108108108109
RED Canids,81.0,2.25,78.0,19,36,0.5094339622641509,0.5277777777777778
REDPack Esports,6.0,1.2,9.0,1,5,0.4,0.2
REJECT,184.0,3.2857142857142856,77.0,46,56,0.7049808429118773,0.8214285714285714
ROSSMANN Centaurs,158.0,2.051948051948052,162.0,40,77,0.49375,0.5194805194805194
Radical Pop Gaming,31.0,1.4090909090909092,65.0,2,22,0.3229166666666667,0.09090909090909091
Rage Bait e-Sports,6.0,3.0,0.0,1,2,1.0,0.5
Ramboot Club,106.0,2.409090909090909,107.0,21,44,0.49765258215962443,0.4772727272727273
Rich Gang,69.0,2.3,84.0,16,30,0.45098039215686275,0.5333333333333333
Rise Gaming,73.0,2.3548387096774195,69.0,7,31,0.5140845070422535,0.22580645161290322
Rogue,81.0,2.793103448275862,81.0,6,29,0.5,0.20689655172413793
Royal Never Give Up,69.0,2.225806451612903,108.0,10,31,0.3898305084745763,0.3225806451612903
Ruddy Esports,91.0,2.3333333333333335,101.0,16,39,0.4739583333333333,0.41025641025641024
SDM Tigres,49.0,2.0416666666666665,59.0,12,24,0.4537037037037037,0.5
SINS Esports,31.0,3.875,17.0,6,8,0.6458333333333334,0.75
SK Gaming,75.0,2.34375,87.0,6,32,0.46296296296296297,0.1875
SK Gaming Avarosa,3.0,1.5,9.0,0,2,0.25,0.0
SN CyberCore Esports,47.0,1.6785714285714286,61.0,11,28,0.4351851851851852,0.39285714285714285
SPIKE Syndicate,109.0,2.18,98.0,29,50,0.5265700483091788,0.58
Saigon Dino,91.0,1.9361702127659575,104.0,32,47,0.4666666666666667,0.6808510638297872
Saigon Secret,89.0,2.4054054054054053,73.0,17,37,0.5493827160493827,0.4594594594594595
Senshi eSports,65.0,1.6666666666666667,115.0,18,39,0.3611111111111111,0.46153846153846156
Seven Dark,43.0,2.0476190476190474,56.0,6,21,0.43434343434343436,0.2857142857142857
Shopify Rebellion,103.0,2.239130434782609,86.0,20,46,0.544973544973545,0.43478260869565216
Sicar Esports,41.0,1.64,55.0,16,25,0.4270833333333333,0.64
Silent Storm Esports,16.0,1.6,44.0,3,10,0.26666666666666666,0.3
Skillcamp,59.0,1.6388888888888888,115.0,6,36,0.3390804597701149,0.16666666666666666
Solary,117.0,2.207547169811321,138.0,28,53,0.4588235294117647,0.5283018867924528
Soul's Heart Esport,9.0,1.8,6.0,2,5,0.6,0.4
Spirit Quartz Gaming,81.0,2.3823529411764706,87.0,17,34,0.48214285714285715,0.5
Sponge Gaming,41.0,4.1,19.0,4,10,0.6833333333333333,0.4
Sportia Khore,6.0,3.0,6.0,0,2,0.5,0.0
Stellae Gaming,108.0,2.347826086956522,81.0,26,46,0.5714285714285714,0.5652173913043478
StormMedia Fajnie Mieć Skład,111.0,2.2653061224489797,80.0,30,49,0.581151832460733,0.6122448979591837
Str1ve eSports,3.0,1.5,9.0,0,2,0.25,0.0
Supernova,77.0,2.3333333333333335,64.0,14,33,0.5460992907801419,0.42424242424242425
T1,227.0,1.9401709401709402,256.0,76,117,0.4699792960662526,0.6495726495726496
T1 Esports Academy,233.0,2.177570093457944,265.0,63,107,0.4678714859437751,0.5887850467289719
T1 Esports Academy Rookies,158.0,2.393939393939394,193.0,47,66,0.45014245014245013,0.7121212121212122
Tan'i eSports CZ,120.0,2.5,78.0,23,48,0.6060606060606061,0.4791666666666667
Team BDS,120.0,2.857142857142857,107.0,17,42,0.5286343612334802,0.40476190476190477
Team BDS Academy,55.0,1.896551724137931,71.0,6,29,0.4365079365079365,0.20689655172413793
Team Blaze 1,4.0,2.0,2.0,0,2,0.6666666666666666,0.0
Team Evermeet,39.0,1.7727272727272727,57.0,5,22,0.40625,0.22727272727272727
Team Flash,111.0,2.775,87.0,22,40,0.5606060606060606,0.55
Team Heretics,103.0,2.340909090909091,119.0,16,44,0.46396396396396394,0.36363636363636365
Team High Ground,3.0,1.5,3.0,1,2,0.5,0.5
Team Insidious,114.0,2.375,102.0,21,48,0.5277777777777778,0.4375
Team Liquid,161.0,2.683333333333333,127.0,32,60,0.5590277777777778,0.5333333333333333
Team Meliora,22.0,3.6666666666666665,14.0,0,6,0.6111111111111112,0.0
Team Mentality,5.0,1.0,19.0,2,5,0.20833333333333334,0.4
Team Paradox,107.0,2.8157894736842106,91.0,16,38,0.5404040404040404,0.42105263157894735
Team Phantasma,185.0,2.2839506172839505,197.0,57,81,0.48429319371727747,0.7037037037037037
Team Refuse,29.0,1.6111111111111112,79.0,3,18,0.26851851851851855,0.16666666666666666
Team Revolta,0.0,0.0,2.0,0,1,0.0,0.0
Team Secret Whales,119.0,2.5869565217391304,85.0,27,46,0.5833333333333334,0.5869565217391305
Team Tockers,2.0,2.0,0.0,1,1,1.0,1.0
Team UNiTY,105.0,2.1,105.0,23,50,0.5,0.46
Team Valiant,145.0,3.152173913043478,71.0,30,46,0.6712962962962963,0.6521739130434783
Team Vitality,102.0,2.7567567567567566,90.0,15,37,0.53125,0.40540540540540543
Team WE,234.0,2.0172413793103448,252.0,47,116,0.48148148148148145,0.4051724137931034
Team WE Academy,10.0,1.4285714285714286,11.0,5,7,0.47619047619047616,0.7142857142857143
TeamOrangeGaming,181.0,2.9193548387096775,107.0,34,62,0.6284722222222222,0.5483870967741935
TeamOrangeGaming Academy,16.0,2.2857142857142856,11.0,4,7,0.5925925925925926,0.5714285714285714
Temper &amp; Friends,3.0,1.0,6.0,3,3,0.3333333333333333,1.0
The Forbidden Five,7.0,0.7777777777777778,20.0,0,9,0.25925925925925924,0.0
The Secret Club,25.0,1.4705882352941178,53.0,6,17,0.32051282051282054,0.35294117647058826
ThunderTalk Gaming,255.0,2.7127659574468086,180.0,34,94,0.5862068965517241,0.3617021276595745
ThunderTalk Gaming Young,12.0,1.7142857142857142,9.0,2,7,0.5714285714285714,0.2857142857142857
Tigers eSports,8.0,1.3333333333333333,10.0,1,6,0.4444444444444444,0.16666666666666666
Top Esports,339.0,2.6484375,267.0,82,128,0.5594059405940595,0.640625
Top Esports Challenger,19.0,2.375,5.0,5,8,0.7916666666666666,0.625
UCAM Esports,92.0,2.090909090909091,115.0,21,44,0.4444444444444444,0.4772727272727273
ULF Esports,136.0,2.193548387096774,125.0,29,62,0.5210727969348659,0.46774193548387094
Ultra Prime,124.0,2.0,164.0,24,62,0.4305555555555556,0.3870967741935484
Underworld Esports,50.0,3.125,46.0,7,16,0.5208333333333334,0.4375
Unicorns of Love Sexy Edition,130.0,2.0634920634920637,143.0,32,63,0.47619047619047616,0.5079365079365079
Universae Instituto FP,63.0,1.96875,69.0,16,32,0.4772727272727273,0.5
V3 Esports,59.0,2.269230769230769,61.0,7,26,0.49166666666666664,0.2692307692307692
VARREL YOUTH,125.0,2.450980392156863,109.0,30,51,0.5341880341880342,0.5882352941176471
VININE,8.0,2.6666666666666665,10.0,1,3,0.4444444444444444,0.3333333333333333
Vancouver Impact,13.0,1.4444444444444444,14.0,1,9,0.48148148148148145,0.1111111111111111
VeLocitY (Japanese Team),7.0,0.7777777777777778,47.0,0,9,0.12962962962962962,0.0
VelbeliKaizokudan,48.0,1.263157894736842,126.0,9,38,0.27586206896551724,0.23684210526315788
Veni Vidi Vici,108.0,2.204081632653061,129.0,25,49,0.45569620253164556,0.5102040816326531
Venomcrest Esports,81.0,2.6129032258064515,69.0,9,31,0.54,0.2903225806451613
Venus Gaming,9.0,1.5,9.0,4,6,0.5,0.6666666666666666
Verdant,145.0,3.0208333333333335,86.0,28,48,0.6277056277056277,0.5833333333333334
VfB eSports,8.0,2.6666666666666665,10.0,1,3,0.4444444444444444,0.3333333333333333
Vitality.Bee,107.0,1.9454545454545455,118.0,29,55,0.47555555555555556,0.5272727272727272
Vivo Keyd Stars,61.0,1.4878048780487805,107.0,21,41,0.3630952380952381,0.5121951219512195
Vivo Keyd Stars Academy,82.0,1.9523809523809523,95.0,27,42,0.4632768361581921,0.6428571428571429
Void Requiem,1.0,0.3333333333333333,13.0,1,3,0.07142857142857142,0.3333333333333333
Vortex (Japanese Team),17.0,1.0,34.0,6,17,0.3333333333333333,0.35294117647058826
WAP Esports,65.0,2.03125,67.0,14,32,0.49242424242424243,0.4375
WLGaming Esports,130.0,3.5135135135135136,71.0,16,37,0.6467661691542289,0.43243243243243246
We Can Win,35.0,3.1818181818181817,31.0,7,11,0.5303030303030303,0.6363636363636364
Weibo Gaming,246.0,2.2990654205607477,231.0,50,107,0.5157232704402516,0.4672897196261682
Weibo Gaming Youth Team,17.0,1.5454545454545454,16.0,5,11,0.5151515151515151,0.45454545454545453
West Point Esports,174.0,2.1481481481481484,195.0,48,81,0.4715447154471545,0.5925925925925926
White Dragons,29.0,4.142857142857143,11.0,4,7,0.725,0.5714285714285714
Winthrop University,87.0,1.9772727272727273,96.0,17,44,0.47540983606557374,0.38636363636363635
XV eSports,27.0,3.0,26.0,4,9,0.5094339622641509,0.4444444444444444
Xibalbá Esports,4.0,0.8,11.0,0,5,0.26666666666666666,0.0
Yang Yang Gaming,129.0,2.3035714285714284,135.0,33,56,0.48863636363636365,0.5892857142857143
ZETA,47.0,1.7407407407407407,86.0,5,27,0.3533834586466165,0.18518518518518517
ZGDX Gaming,13.0,1.3,17.0,4,10,0.43333333333333335,0.4
Zena Esports,85.0,2.1794871794871793,113.0,17,39,0.4292929292929293,0.4358974358974359
ZennIT,160.0,2.4615384615384617,144.0,44,65,0.5263157894736842,0.676923076923077
Zerance,108.0,2.6341463414634148,81.0,13,41,0.5714285714285714,0.3170731707317073
Zero Tenacity,216.0,2.7341772151898733,141.0,53,79,0.6050420168067226,0.6708860759493671
ZeroZone Gaming,35.0,3.1818181818181817,22.0,0,11,0.6140350877192983,0.0
Zerolag Esports,63.0,1.6153846153846154,138.0,13,39,0.31343283582089554,0.3333333333333333
Zeu5 Esports,86.0,2.388888888888889,64.0,21,36,0.5733333333333334,0.5833333333333334
aNc Legends,46.0,1.9166666666666667,56.0,6,24,0.45098039215686275,0.25
devils.one,39.0,2.6,51.0,3,15,0.43333333333333335,0.2
e-Champ Gaming,18.0,2.0,9.0,4,9,0.6666666666666666,0.4444444444444444
eQuizers,57.0,3.3529411764705883,45.0,11,17,0.5588235294117647,0.6470588235294118
eSports Cologne e.V.,6.0,3.0,6.0,0,2,0.5,0.0
eSuba,152.0,2.0821917808219177,144.0,46,73,0.5135135135135135,0.6301369863013698
evil genius (RTV Team),16.0,2.2857142857142856,5.0,2,7,0.7619047619047619,0.2857142857142857
htp eSport Akademie Hannover,2.0,0.5,16.0,2,4,0.1111111111111111,0.5
inf,74.0,2.5517241379310347,55.0,19,29,0.5736434108527132,0.6551724137931034
mCon esports,133.0,2.375,134.0,36,56,0.49812734082397003,0.6428571428571429
paiN Gaming,97.0,2.0208333333333335,107.0,29,48,0.47549019607843135,0.6041666666666666
regnum4games,9.0,3.0,9.0,1,3,0.5,0.3333333333333333
wangting,121.0,2.086206896551724,119.0,27,58,0.5041666666666667,0.46551724137931033
ΣΤΕΝΑΧΩΡΕΜΕΝΟΙ,4.0,1.0,20.0,1,4,0.16666666666666666,0.25
