playername,doublekills,triplekills,quadrakills,pentakills
Astrasmaug,2.0,0.0,0.0,0.0
Asza,18.0,2.0,0.0,0.0
Atat,1.0,0.0,0.0,0.0
Autophil,2.0,0.0,0.0,0.0
Avarice,45.0,7.0,0.0,0.0
Avra,23.0,2.0,1.0,0.0
AwerpiS,0.0,0.0,0.0,0.0
Axelent,89.0,22.0,0.0,0.0
Axo,7.0,3.0,0.0,0.0
Ayel,12.0,0.0,0.0,0.0
Aymen,0.0,0.0,0.0,0.0
Aytekn,26.0,3.0,0.0,0.0
Ayu,35.0,5.0,1.0,0.0
Azhi,24.0,1.0,0.0,0.0
Azu,10.0,3.0,0.0,0.0
Azuka,2.0,1.0,0.0,0.0
Azura,0.0,0.0,0.0,0.0
B Butcher,4.0,0.0,0.0,0.0
BANKAI,6.0,1.0,0.0,0.0
BAO,41.0,14.0,2.0,1.0
BByoan,0.0,0.0,0.0,0.0
BCE Blesia,4.0,0.0,0.0,0.0
BCT R0se,0.0,0.0,0.0,0.0
BE5 Coli,0.0,0.0,0.0,0.0
BE5 Straka,1.0,0.0,0.0,0.0
BE5 bakisa,0.0,0.0,0.0,0.0
BEAN,83.0,17.0,1.0,1.0
BER Berimbau,1.0,0.0,0.0,0.0
BER Besnaga,0.0,0.0,0.0,0.0
BER Cerelac,0.0,0.0,0.0,0.0
BER Lunatik,0.0,0.0,0.0,0.0
BER Outskale,0.0,0.0,0.0,0.0
BFX Bangin,0.0,0.0,0.0,0.0
BFX Lost,2.0,0.0,0.0,0.0
BFX Rang,1.0,0.0,0.0,0.0
BFX Should,1.0,0.0,0.0,0.0
BKD Eria,4.0,1.0,0.0,0.0
BKD Meii,2.0,0.0,0.0,0.0
BKD anakin,0.0,0.0,0.0,0.0
BKD razu,0.0,0.0,0.0,0.0
BKD yokiha,3.0,0.0,0.0,0.0
BL Frechdachs,0.0,0.0,0.0,0.0
BL Niko Reaper,0.0,0.0,0.0,0.0
BL Vinni Wonka,0.0,0.0,0.0,0.0
BLS 1KK1,1.0,0.0,0.0,0.0
BLS Fantasyleaf,2.0,0.0,0.0,0.0
BLS TaiTa,3.0,1.0,0.0,0.0
BLS shironeco,1.0,0.0,0.0,0.0
BOO Blender,10.0,2.0,1.0,0.0
BOO Eve,1.0,0.0,0.0,0.0
BOO FuraFura,7.0,1.0,0.0,0.0
BOO Razer,7.0,0.0,0.0,0.0
BOO Snow Panda,2.0,0.0,0.0,0.0
BOO rururu,7.0,1.0,0.0,0.0
BRT Speedy2,0.0,0.0,0.0,0.0
BVL Fake1,0.0,0.0,0.0,0.0
BVL Fantasyleaf,4.0,0.0,0.0,0.0
BVL Fubuki,28.0,5.0,1.0,0.0
BVL GOODTRY,1.0,0.0,0.0,0.0
BVL MayR,23.0,5.0,1.0,0.0
BVL Snow Panda,0.0,0.0,0.0,0.0
BVL udon,8.0,3.0,1.0,0.0
BVL uwaa,9.0,1.0,0.0,0.0
BVL uwaaaa,2.0,0.0,0.0,0.0
Baashh,9.0,3.0,0.0,0.0
Babuleh,5.0,0.0,0.0,0.0
Baca,13.0,2.0,0.0,0.0
Backlund,9.0,2.0,1.0,1.0
Bada,30.0,5.0,1.0,0.0
Badlulu,28.0,3.0,0.0,0.0
Baiye,0.0,0.0,0.0,0.0
Baki,3.0,1.0,0.0,0.0
Bala,5.0,1.0,0.0,0.0
Balyy,7.0,2.0,0.0,0.0
Bambi,2.0,0.0,0.0,0.0
Bananiasty,0.0,0.0,0.0,0.0
Bananitoo,2.0,0.0,0.0,0.0
Banderas,4.0,0.0,0.0,0.0
Bandit,8.0,0.0,0.0,0.0
Bangin,1.0,1.0,0.0,0.0
Banino,0.0,0.0,0.0,0.0
Bardito,1.0,0.0,0.0,0.0
Barrage,2.0,0.0,0.0,0.0
Barry,0.0,0.0,0.0,0.0
BartonaR,8.0,1.0,0.0,0.0
Basei,0.0,0.0,0.0,0.0
Basraket,33.0,9.0,2.0,1.0
Batuuu,6.0,0.0,0.0,0.0
Baul,6.0,0.0,0.0,0.0
Baula,0.0,0.0,0.0,0.0
Baumeef,22.0,3.0,0.0,0.0
Baus,17.0,3.0,1.0,0.0
Baut,0.0,0.0,0.0,0.0
Bayonetta,0.0,0.0,0.0,0.0
Bazz,12.0,2.0,0.0,0.0
Bcan,26.0,3.0,0.0,0.0
Bdd,43.0,5.0,1.0,0.0
Be,4.0,0.0,0.0,0.0
Beenie,17.0,2.0,1.0,0.0
Beichuan,3.0,0.0,0.0,0.0
Bejjaniii,0.0,0.0,0.0,0.0
Beluga,3.0,1.0,0.0,0.0
Benaset,0.0,0.0,0.0,0.0
Benda,2.0,0.0,0.0,0.0
Benny,6.0,2.0,0.0,0.0
Berik,2.0,0.0,0.0,0.0
Berr,1.0,0.0,0.0,0.0
Berserker,39.0,8.0,1.0,0.0
BeryL,0.0,0.0,0.0,0.0
BetaTwinz,1.0,0.0,0.0,0.0
Betty,46.0,14.0,2.0,0.0
Beyond,0.0,0.0,0.0,0.0
Bf,1.0,0.0,0.0,0.0
BiIIy,8.0,2.0,0.0,0.0
Bible,0.0,0.0,0.0,0.0
Bie,7.0,2.0,0.0,0.0
Bin,9.0,2.0,0.0,0.0
Bio,8.0,1.0,0.0,0.0
BioPanther,3.0,0.0,0.0,0.0
Biob,0.0,0.0,0.0,0.0
Biofrost,1.0,0.0,0.0,0.0
Birkyy,2.0,0.0,0.0,0.0
Biskoo,0.0,0.0,0.0,0.0
Bissejr15,19.0,6.0,1.0,1.0
Bitse,2.0,0.0,0.0,0.0
Bizyze,0.0,0.0,0.0,0.0
Blaber,16.0,2.0,0.0,0.0
BlackSwan,25.0,3.0,0.0,0.0
Blackout,1.0,0.0,0.0,0.0
Bladeshow,5.0,1.0,1.0,0.0
BlauRosen,1.0,0.0,0.0,0.0
Blesia,12.0,3.0,1.0,1.0
Blind Walker,3.0,0.0,0.0,0.0
Bloopy,0.0,0.0,0.0,0.0
Blue,0.0,0.0,0.0,0.0
Blueboar,4.0,0.0,0.0,0.0
Bluffing,0.0,0.0,0.0,0.0
Boal,11.0,2.0,0.0,0.0
Bobsik,16.0,2.0,0.0,0.0
Boda,45.0,8.0,0.0,0.0
Bojji,3.0,2.0,0.0,0.0
Bola,16.0,7.0,1.0,0.0
Bold,24.0,4.0,0.0,0.0
Bolyy1,0.0,0.0,0.0,0.0
Bong,11.0,1.0,0.0,0.0
Bonnie,21.0,5.0,0.0,0.0
Boohis,0.0,0.0,0.0,0.0
Booki,20.0,2.0,0.0,0.0
Booshi,43.0,12.0,3.0,1.0
Boukada,8.0,2.0,0.0,0.0
Boye,0.0,0.0,0.0,0.0
Bradley,10.0,1.0,0.0,0.0
Brance,23.0,3.0,1.0,1.0
Brayaron,0.0,0.0,0.0,0.0
Breathe,0.0,0.0,0.0,0.0
Breezy,2.0,0.0,0.0,0.0
Brizz,4.0,1.0,0.0,0.0
Broeki,22.0,2.0,1.0,0.0
BrokenBlade,21.0,2.0,1.0,0.0
BrokenSword,1.0,0.0,0.0,0.0
Brucee,11.0,4.0,1.0,0.0
Bruhruto,1.0,0.0,0.0,0.0
Bruno,2.0,0.0,0.0,0.0
BuLLDoG,20.0,3.0,2.0,0.0
BuLuKaKa,28.0,1.0,0.0,0.0
Buchi,3.0,0.0,0.0,0.0
Buero,15.0,6.0,2.0,0.0
Buggax,10.0,1.0,0.0,0.0
Built,7.0,0.0,0.0,0.0
Bulas,1.0,0.0,0.0,0.0
Bull,40.0,5.0,2.0,0.0
Bumblebee,4.0,0.0,0.0,0.0
Burdol,20.0,0.0,0.0,0.0
Burence,0.0,0.0,0.0,0.0
Busio,0.0,0.0,0.0,0.0
Bust,1.0,0.0,0.0,0.0
Busvicke,3.0,0.0,0.0,0.0
Bvoy,20.0,5.0,0.0,0.0
Bwater,5.0,0.0,0.0,0.0
Bwipo,23.0,0.0,0.0,0.0
C7,12.0,1.0,1.0,0.0
CBL,1.0,0.0,0.0,0.0
CHECKFIDER,0.0,0.0,0.0,0.0
CHEF,5.0,1.0,1.0,0.0
CK GOMAMUGICH4,0.0,0.0,0.0,0.0
CK GOMAMUGICHA,1.0,0.0,0.0,0.0
CK Ls ,1.0,0.0,0.0,0.0
CK Razer,4.0,1.0,0.0,0.0
CK Saba,7.0,1.0,0.0,0.0
CK gotae,14.0,3.0,0.0,0.0
CK ss1,15.0,0.0,0.0,0.0
CKZ vorfles,0.0,0.0,0.0,0.0
CNV Chrome,2.0,2.0,0.0,0.0
CPM,7.0,1.0,0.0,0.0
CROmpir,7.0,1.0,0.0,0.0
CRZ Cold Rose,1.0,0.0,0.0,0.0
CRZ Flashpowa,1.0,1.0,0.0,0.0
CRZ Satto,0.0,0.0,0.0,0.0
CRZ Zeradyn,0.0,0.0,0.0,0.0
CRZ pvm,0.0,0.0,0.0,0.0
