playername,cs_total,cspm,minionkills,monsterkills,games_played
Anonymouss,8441.0,0.11449101638322978,1528.0,6913,40
Anthrax,516.0,0.012877919468926208,516.0,0,20
Antonio,10693.0,0.15129354762508232,10205.0,488,37
Antos,60.0,0.012071310790226303,54.0,6,2
Anyone,11997.0,0.14151319990830963,11743.0,254,41
Anyyy,6801.0,0.14904875725665856,6637.0,164,22
Aojune,7871.0,0.14039038457900957,7735.0,136,28
Aomine,13447.0,0.15865540196170666,12685.0,762,43
Apatheia,2576.0,0.09991508995593107,327.0,2249,13
Apollonia,459.0,0.15332156245052608,459.0,0,2
ArQuel,3267.0,0.10850270452296355,3264.0,3,15
Arcano,493.0,0.10255034100626818,38.0,455,3
Archfiend,2783.0,0.11520623725422965,2759.0,24,14
Ardo,610.0,0.012488842532268599,606.0,4,24
Aress,13761.0,0.14585761601878627,13456.0,305,49
Argonauta,292.0,0.013955407963816455,292.0,0,10
Aria,11371.0,0.14734475621403278,11188.0,183,40
Ariana,3832.0,0.12204102334867392,3787.0,45,17
Armut,16434.0,0.13826114729995545,16081.0,353,60
Arn,6528.0,0.12448583727660464,6418.0,110,27
Arnax,4361.0,0.13011252056852382,4250.0,111,17
Arp,3894.0,0.09957992618005619,541.0,3353,21
Array,10873.0,0.1449321604393402,10607.0,266,37
Arrietty,5301.0,0.14708731794463592,5170.0,131,20
Artanis,1822.0,0.0953837755419007,176.0,1646,10
Artemis,25100.0,0.15539600727694938,24072.0,1028,82
Artoria,3319.0,0.13317852014081855,3272.0,47,14
Arutnev,568.0,0.11674948603162077,518.0,50,3
ArutnevJr,634.0,0.12710499352131602,618.0,16,3
Arven,580.0,0.14645203116238065,575.0,5,2
Ascend,20495.0,0.15256909088292794,19424.0,1071,73
Asilah,7186.0,0.12328053054538235,7058.0,128,32
Aspect,373.0,0.09716217391754317,41.0,332,2
Assum,23319.0,0.15177130904128627,22463.0,856,78
Astrai,434.0,0.015471812303994161,434.0,0,14
Astrasmaug,1337.0,0.1288237963798197,1321.0,16,6
Asza,7768.0,0.14590424661393703,7517.0,251,26
Atat,283.0,0.01611314363527397,277.0,6,9
Autophil,622.0,0.10126023362460351,145.0,477,3
Avarice,18045.0,0.1531793034366848,17499.0,546,59
Avra,7074.0,0.14209575839058583,6699.0,375,26
AwerpiS,985.0,0.013785136012142526,963.0,22,38
Axelent,24319.0,0.15418158773235727,22877.0,1442,83
Axo,7861.0,0.13484843793641169,7658.0,203,30
Ayel,4259.0,0.1173687268531367,4170.0,89,19
Aymen,425.0,0.014147279440507882,417.0,8,16
Aytekn,15316.0,0.12900435794612566,14981.0,335,62
Ayu,18459.0,0.15466299197468913,17880.0,579,61
Azhi,18149.0,0.13090382518062785,17692.0,457,71
Azu,1697.0,0.08456011199500998,1638.0,59,11
Azuka,1580.0,0.13630179659456917,1546.0,34,6
Azura,452.0,0.11784076756688223,452.0,0,2
B Butcher,2573.0,0.017287778939425978,2554.0,19,80
BANKAI,1778.0,0.13283994947437974,1749.0,29,7
BAO,14062.0,0.15105886224569404,13428.0,634,46
BByoan,695.0,0.09887663592064057,88.0,607,4
BCE Blesia,992.0,0.14918784917333436,965.0,27,3
BCT R0se,460.0,0.14989753943026363,440.0,20,2
BE5 Coli,75.0,0.014605241563134605,75.0,0,3
