playername,gpm,dpm,kills_per_min
 BLWeaksideWizar,5.596712763537308,10.00340020740268,0.00028935185185185184
0909,7.04112428750967,13.476755335871337,0.0023531153504203167
0ri,5.913241037257351,7.3235621419493695,0.0020372497703708826
1116,7.372792421322315,14.367057547075374,0.0035623729530596415
113,5.569918833417834,7.742678578737684,0.0011927920150364153
13,7.140179095025595,12.804414192084744,0.0028012506374272355
1Jiang,6.21129597205675,8.942908746293076,0.001256802793131205
1Zeus,5.277577505407354,6.602739726027397,0.0007209805335255948
1xn,7.221524135372209,11.715143269317704,0.0021348743286413578
2274,4.135873965191632,4.022955897824147,0.0005009835431964016
2Guns,6.993735187101471,12.511512996807358,0.0018505128333358516
369,6.569816535628656,10.453151005994451,0.0014514103980045093
3XA,7.878771144253768,13.06960816595165,0.002841625504769765
452apm,7.664594254310194,13.092950619302709,0.0034082248510599743
5M Crop,5.084019361443074,6.239846599196694,0.0006195786864931846
5M Profirio,4.120490500504163,5.815307843476714,0.0007571680805114004
5M Ratao,7.3074857158614135,10.66765210805998,0.0026159041399909542
5M Theop,5.611819525924941,6.8506875063429,0.0015832729958356467
5t5,5.340398884461983,4.22943536797307,0.00042977640222905306
665,6.709080241583765,9.721684718354027,0.0028279812360982206
6ax,6.7913366073218135,12.276571530707981,0.002151075543092671
6onza,6.071218501320006,7.522447516345822,0.001298720194775696
7D 6onza,6.160805412844088,11.639656199131167,0.0011498944717098748
7D AlluK,6.585666975996215,8.115090834457527,0.0023847477532535927
7D Max,3.7587910705194094,2.0422944737353337,0.00016501650165016502
89,5.472204213924726,5.815875365853899,0.0012823409539658714
9eetoo,6.122398918151802,11.399875559328029,0.0010835480738499036
A1MA Gimko,5.56037979252426,7.314615508510551,0.0011124704576440626
A1MA Pucki,5.8375227727898285,12.238073873539616,0.0019316949251481587
A1MATrailblazer,4.420290574838546,4.857655126211913,0.001099023012551662
AAXL Mario,5.88621997471555,8.166877370417193,0.0012642225031605564
AAXL Shack,6.076485461441214,9.054361567635905,0.0006321112515802782
AAXL Tigrot,3.618204804045512,1.4854614412136535,0.0
AIM4,5.91211853881943,11.146009896451979,0.001259827214297685
AKaJe,6.534086070762382,12.185435597768292,0.002045550931811021
ALNSHT,7.055454704821059,11.799492740991647,0.0022131121625240213
AMBAN,6.714969241285031,12.367053998632946,0.004101161995898838
AMI Dcoy,6.675840978593272,9.209785932721713,0.001834862385321101
ANDARIEL,7.032450471514306,12.582174237868504,0.0024606923068923865
AOMA Cacnea,4.324754415404216,2.485781270966858,0.0002810567734682406
APA,6.793717681268088,12.110454368273759,0.0016681482599370712
APE Thorfin,6.953513353662663,7.578765955124226,0.0026733465484347126
APP,6.3789185868211,9.843948093582469,0.0014569859751711182
ARA DarkPhoenix,6.199500819837276,8.303557123330298,0.0004977600796416127
ARA Slix,5.438572303758073,6.700751806673405,0.0007676560900716479
Abagnale,4.228306462300072,3.2298425402847295,0.00045407127288210034
Abbedagge,6.296286012200155,9.899078686023193,0.001114341844631339
Ablazeolive,7.025869804905941,11.356477544536437,0.0019360322846584304
Abner,8.810545488250652,14.280390814785262,0.005491728439984758
About,7.6398540103079435,13.674476349366547,0.002445658649590348
Abyss,4.608698890714761,5.630542048690138,0.0009616148676772888
Ace,7.456470049616233,13.044292785300865,0.0030286589257225585
Achael,6.240894025479612,10.513457701621967,0.001664708683371036
Ackerman,4.069223415479379,3.6774699003931155,0.000329343144313155
Adam,6.630992281826828,9.597735066063793,0.0016291697198603785
Addusto,6.8320948700787305,11.5829218211796,0.0018476814844830482
